Professor	Course	Rating	Comment
Deborah Joseph	CS577	AWESOME	A must take if you're a CS major. Highly recommended if you want to graduate.
Deborah Joseph	CS577	AWESOME	This class is great.
Deborah Joseph	CS577	AVERAGE	Not to hard to get an A because of her point system, but you won't learn too much. What she goes over in lecture will show up on the quizzes, but is otherwise pretty useless. Homework is ridiculously time consuming, and harshly graded, but you can pick and choose which assignments you want to do. Not as bad as some of the others say.
Deborah Joseph	CS577	AWFUL	Do not take this class with her if you actually want to learn the material.  Her grading system is that you need to get 200 out of a possible 437, so getting an A is possible but still difficult, especially since she didn't release anything until most of the semester is over.  Did not learn anything I wanted too except what I taught myself.
Deborah Joseph	CS577	AWFUL	Definitely the worst professor I've had. Material is stumbled over during lecture, not taught. Homework assignments are not consistent with material being taught. She does not seem to be very interested in this class. Take  577 from a different professor, you won't learn anything from Joseph.
Deborah Joseph	CS520	POOR	Unclear of what was expected throughout the course. Didn't respond to my multiple emails and was essentially impossible to reach outside of class.
Jim Skrentny	CS354	AWFUL	Doesn't answer questions, just rambles in a bunch of jargon/random abbreviations and messily scribbles on the projector.  Generally unhelpful
Jim Skrentny	CS354	AWFUL	Very messy handwriting, not very helpful in office hours and not very responsive to extenuating circumstances such as having another class at the same time he scheduled a midterm, or a life threatening illness in my family.
Jim Skrentny	CS354	POOR	I took CS367 with Jim, and I loved him. However, the outline style does not help in this course. There are tons of details, so it turns out we have to memorize the  notes and textbook. I took CS577 with Eric in the same semester, and I got an A. However somehow I am struggling in this course with Jim. 88.5 A, 84.8 - 88.5 AB, 78.8 - 84.8 B.
Jim Skrentny	CS354	AVERAGE	I'm not gonna lie, I didn't like how Jim taught 354. Same format as CS 367: print out outlines of lecture notes and fill them in in class. Works great for 367, not so much for 354, which is what he's most likely going to be teaching for a while, and it doesn't work because there's so much content in 354. Homeworks are ridiculously hard but helpful.
Jim Skrentny	CS354	AWESOME	Very good teacher, explains concepts well. He is very detail oriented so you have to put in some work to figure out exactly how everything works but he does a good job of getting you there. Genuinely cares about teaching as effectively as possible
Jim Skrentny	CS354	GOOD	"Mixed feelings: He is a great prof but still only enjoyed 50% of 354. Constantly found myself saying ""What the f%!K Jim"" while doing homework because they were so detailed that it was infuriating. Learned a ton, but he is so knowledgeable in the material that he teaches so much and expects you to master everything, so it can be un-enjoyable."
Jim Skrentny	CS354	AWESOME	This is his first semester teaching 354 for some time, and he has been a part of revamping the course. Tests are multiple choice + dual choice now and you learn the material in a different order than usual, but it's the same stuff by and large.  Great professor, projects were 6-10 hours each (6 projects total), exam questions were what I expected
Jim Skrentny	CS354	AVERAGE	Um I would say his lecture is pretty informative but not that exciting. He teaches in a way that sometimes is too detailed and makes computer science less like computer science. But you sure will get a solid foundation if you have him as your professor.
Jim Skrentny	CS367	GOOD	He has you take notes by having you print out a skeleton of the lecture notes every day and having you follow him through it, filling stuff in. I liked it a lot, but if you didn't show up then you would have to ask someone who was there for their notes. Is really thorough with examples. Pretty quirky, keeps lectures from getting too boring.
Jim Skrentny	CS367	AWESOME	I really enjoyed 367 with Jim Skrentny. I was a little lost at first, but quickly got used to his teaching style and learned a ton. Probably learned more in 367 than in any other class I've taken here. He is extremely organized and explains tough concepts very thoroughly. I would highly recommend getting him as an instructor for this course.
Jim Skrentny	CS367	AWESOME	He has very good lectures that include a notesheet outline we can use during the lecture. His lectures help a lot, and the outlines for each lectures actually help you learn much better than traditional lectures.
Jim Skrentny	CS367	GOOD	Skrentny is by far my favorite professor at UW.  His lectures were engaging and he has 367 down to a science.  It's a shame the class has been given to Deppler.  I learned so much from him and considering what an important class this is for a CS major, I am glad that he was my professor.  If you have the chance, TAKE SKRENTNY.
Jim Skrentny	CS367	AWFUL	Needs to work on his people skills.
Jim Skrentny	COMP367	GOOD	Class was challenging, definitely need to work very hard to get an A unless you're naturally amazing at nitpicky test questions and doing perfectly on all programs/homework assignments. Professor Skrentny is a good lecturer and a nice guy, a bit intimidating one-on-one. Enjoyed his outline format of lecturing. Study hard, hard, hard for tests!
Jim Skrentny	CS367	AVERAGE	His lectures put me to sleep. Really boring professor. He explains things well if you're able to stay awake during his class. Sometimes unclear.
Jim Skrentny	CS367	AWFUL	An angry boy with a bad attitude is the most accurate characterization I can give for Mr. Skrentny. His motley lecture slides only further your confusion of the concepts. Incredibly inapt for his position. Hopefully he will quit lecturing soon as teaching clearly isn't for him.
Jim Skrentny	COMP367	POOR	Boring long lecture, cover everything in reading.
Jim Skrentny	CS367	AWESOME	A bit scary in person, but a great lecturer. No textbook, just shortish online readings, which is nice.
Jim Skrentny	CS367	AWESOME	Puts in a lot of effort into the classes. Very enthusiastic. Very clear. Answers questions very well.
Jim Skrentny	COMP367	POOR	You only need to catch up notes in lecture, not much to listen
Jerry Zhu	CS540	POOR	seems like a nice person but is teaches more theoretical math and statistics than actual computer algorithms. DO NOT take with him if you want to understand the material from lecture alone, this is nearly impossible.
Jerry Zhu	CS540	POOR	His AI class is not really what I expected. Much more math and statistics oriented. Really struggle in his class because I have little statistics background and he rushed stats ideas as if you already know them. Not recommended for CS students.
Jerry Zhu	540	POOR	He's a good teacher if you have a strong mathematical background. Otherwise things can fly over your head. Final exam was the worst experience. 35% of your grade and the exam had 20 1-word answers (numbers or boolean). His slides were horrible since he writes superscript and subscript in the same line. I had to struggle and learn elsewhere.
Jerry Zhu	CS540	GOOD	Jerry is a pretty good professor, though he sometimes rushes through advanced mathematical concepts that some students may not have a strong background in. Tests are multiple choice, difficult, and highly theoretical.
Jerry Zhu	CS540	GOOD	He can really explain some tough subjects in a clear and concise manner when it comes to AI. I missed one lecture all semester because it's pretty tough by just reading. The homework assignments teach the concepts both programmingpaper wise, but I found the tests to be out of nowhere and pretty rough. Review theory for exams
Jerry Zhu	540	GOOD	Jerry is a very good lecturer with clear examples. Subjects go by fast, so missing class is not recommended. His tests are tough but manageable (past exams help).
Jerry Zhu	CS761	AWESOME	Takes his teaching very seriously. Very intuitive and helpful. Great professor.
Jerry Zhu	CS761	AWESOME	Great teacher, has very intuitive explanations of complicated machine learning concepts that are very cryptic in literature.
Jerry Zhu	CS540	POOR	5 hw worth 50% of your grade. They were difficult but fair. He isn't the best professor in the world but he isn't terrible. He seems like a nice guy also and that can count for a lot if you need help.
Jerry Zhu	CS540	POOR	We went into the final exam knowing 45% of our grade so far. 20% worth of homework that we turned in almost a month prior, and he said would be graded multiple times, just wasn't. This class is tough, and he doesn't make it any easier to learn the material. Don't expect to get an example if you don't understand something.
Michael Ferris	CS525	AWFUL	really bad lecturer,giving confusing lectures. I learnt all material by myself. The homework was not supposed to be so hard if he could give some information on lecture. Stay Away from him!
Michael Ferris	CS525	AVERAGE	Changed the start time of the class from the official one so that he could cancel some lectures and offer us the same amount of instruction. Lectures are relatively clear but can be confusing at times, especially in the middle of a proof. Exams are quite difficult, and the textbook is not well written.
Michael Ferris	CS525	GOOD	His class is so tough. The homework is long and there are so many proof questions that make it a pure math class. The project is interesting and easy though. The problem is final, because the final is way too hard, and he expects the average to be 50-60. On the bright side, he's easy to talk with and explain problems clearly.
Michael Ferris	ISYE525	AWFUL	Bad Prof !
Somesh Jha	CS435	AWESOME	One of my favorite professors
Somesh Jha	CS435	AWESOME	I really enjoyed the lectures. Homeworks were a bit challenging, but significantly easier than what you would see in 577 or 520. No programs at all.
Somesh Jha	CS435	GOOD	Very good professor, though notation and grading criteria can be confusing at times. You can tell that he genuinely cares, though, and he works hard to make the material approachable. My biggest complaint is that he makes you do the homework in pairs.
Somesh Jha	CS435	AWESOME	Awesome, awesome professor. My favorite one in the CS department (and that's saying a lot... I've had good CS professors here). He's really generous to students, and wants them to succeed. He tries to learn everybody's name if possible and does a good job of it. Really interactive. Highly recommended! If engaged at all, you should get a good grade.
Somesh Jha	CS435	AWESOME	Somesh is a boss, easily one of my favorite professors at this university.  Cryptography is not an easy subject, but dude is so laid back he makes it fun.  Also one of the most generous graders I've encountered.
Somesh Jha	CS536	AWESOME	Somesh is a very helpful professor. There is no textbook for the class and his notes he gives in class are very helpful. Midterms aren't too bad, some of the questions are similar to past exams. Overall a very good class and clear professor.
Colin Dewey	BMI576	POOR	His homework grading criteria is extremely difficult. The concepts covered in class line up somewhat well with the homework. However, the homework perfectly prepares you for the exams. Start the assignments early and get help otherwise you can say goodbye to getting an AB or an A in his class.
Colin Dewey	BMI576	GOOD	Professor Dewey seems very knowledgeable and passionate about the subject. The class combines CS, stats, and biology majors, and those without programming experience seem to have trouble with some of the concepts. As a CS student the material moves at a comfortable pace and the programming homework assignments are straightforward.
Colin Dewey	BMI576	AWFUL	By far the worst professor i have had in university. He makes an intro level course on bioinformatics seem like the most difficult thing in the world. His explanations of some very fine and detailed concepts are vague and brushes over important details. The homework assignments will include details he may have never gone over in class. Poor.
Colin Dewey	BMI576	AWESOME	Colin Dewey is an incredible lecturer.  Concepts are very clearly and thoroughly explained, and his presentations are engaging and easy to follow.  Assignments and exams are a bit tough, but you'll do well if you go to lecture.
Eric Bach	CS577	AVERAGE	He is not that scary... Some lectures are pretty confusing, which I left having no ideas what he was talking about. He is very good outside of the lecture tho. He gives tons of help in his OH. Overall you will learn a lot from him.
Eric Bach	CS577	AVERAGE	Just teaches a bunch of different algorithms with a very loose structure. Be familiar with the algorithms but don't stress over them, class tests more on your deductive reasoning than your understanding of the course.
Eric Bach	CS577	AWESOME	An ideal teacher for this course.  He intuitively understands the material and has the ability to immediately grasp the perspective of the student asking a question.  This stuff is abstract, Prof Bach makes it approachable.  He is easily reachable, responsive and appears to truly care about both his students and the material.
Eric Bach	CS577	AWFUL	"HWs are random questions, and everything is too theoretical. The most useful proof in this class will be ""Now it should be clear that..."". It's not a good course if you really want to learn algorithm.  Most students go to the other section because this guy just doesn't know how to teach. He sucks."
Eric Bach	CS577	AVERAGE	Dr. Bach is a very smart man but isn't  a easy grader. To want to pass you have to be interested in CS if you aren't the homework will feel like a chain on your leg. In my opinion hes a tough grader and isn't the best but if you want a boost know what your doing wrong and are very interested in CS he'd be the one for you.
Eric Bach	MATH240	AWFUL	He's the worst professor I've ever had. Never take a class with him. There were 4 exams: first average was a 26%, second was 35%, third was 36%, and the final average wasn't posted it was that bad. The exams were multiple choice... He doesn't know how to teach, and he doesn't know how to dumb it down at all. He couldn't have been worse..
Eric Bach	CS577	AWESOME	Hard class but doable. If you can't get this class with deb take it with Eric.
Eric Bach	MATH240	POOR	"Absolutely worthless professor from my experience in Discrete Math. No, the material is not great, but it was extremely difficult to understand. When the first exam came around and an A was 20%, I dropped. When I went to ask for help, he offered the suggestion to ""just write a program to solve it for you"". Take 240 with Math Dept instead!"
Eric Bach	CS240	AVERAGE	Just terrible. Made everything so unnecessarily hard that we missed the key concepts of discrete math. I feel robbed of the knowledge that class should have offered.
Eric Bach	MATH240	POOR	It's all been said. He's a very bad teacher. Thinking of taking his class? Don't.
Eric Bach	CSMATH240	AWFUL	He wasn't clear.  The book wasn't clear. The homework was incredibly difficult.  The exams were too, and they were worth 90% of your grade total with each exam average under 50%.
Eric Bach	CS240	AWFUL	Easily the worst class I've ever taken, and the worst professor I've ever had.
Eric Bach	CS240	AWFUL	The worst 240 professor I have ever seen.  I know people that have taken this course with other professors and they do not understand what Bach is trying to teach.  His methods are unclear, he is terrible at getting his point across and he blames the students for his inability to teach.
Eric Bach	CSMATH240	AWFUL	Finally finished the worst class in history! Absolutely terrible time.
Eric Bach	CS240	AWESOME	Probably the best teacher you can take 240 with especially if you're going to be a CS major. If I could take the class again, I definitely would.
Eric Bach	CS240	AWFUL	Terrible teacher. Lecture is pointless as nothing you will be doing on the homework is related. Homework is difficult to the point of absurdity, and the exams are stupid hard. Whatever you do don't take any classes with this excuse for a teacher.
Eric Bach	CS240	POOR	Extremely difficult. It definitely doesn't need to be this hard but his class definitely challenges you to learn everything very well.  The problem is, his impossible homeworks and teaching style forces you to learn almost everything on your own
Eric Bach	CS240	AWFUL	Worst professor I've ever had. Completely impossible to understand. The homeworks given are hard to the point of impossible (I've put in an un-godly amount of time, and gotten nowhere.) The average on the first test was a 33% (after almost half the class dropped the course).
Eric Bach	CS240	POOR	"A nice guy, but his teaching style is not the most helpful, and his exam/HW questions are needlessly convoluted (i.e. he tries to be ""creative"") and thus much more difficult than the content of the class calls for."
Eric Bach	CS240	POOR	There is no doubt that Eric is very smart, the only problem is that he is used to teaching higher level undergrad and grad courses. Not the right fit for a class that is trying to teach the basics of many different topics. Unfortunately it is required for CS, so we have to deal with it. I'll be happy to get out with a B and never look back!
Jin-Yi Cai	CS520	AWESOME	Jin-Yi Cai made theoretical computer science very approachable. His lecturing style is very clear and understandable. Basically if you show up to class and actually listen the homework and tests should be fairly easy.
Jin-Yi Cai	CS577	POOR	Obviously very smart, but he spoke very quickly on advanced topics and lectures were not always easy to follow. Homework was extremely difficult, did not match the textbook and often not the lecture, and did not leave sufficient time to the student to complete. Office hours were not helpful; he would say that he wanted the student to think about it
Jin-Yi Cai	CS520	POOR	Cai is passionate about his subject. However, the subject matter is tough.  You do not get solutions to HW.  Also, there is no reviews for midtermsfinal.  In the end, the curve should stop you from getting anything worse then a C.  All in all, take Cai if you want to learn high level theory without worrying about failing.
Jin-Yi Cai	CS520	POOR	He tries to make the content relatable but I ended up doing much of my learning through the textbook. He started off well but I struggled learning as the semester went on and the content became more difficult.
Jin-Yi Cai	CS520	AWESOME	Although Rating Jin-Yi Cai as 2 in easiness, it is clear that the class he is teaching is already too difficult for most professors to handle. If you are going to take CS520 with him, be sure NOT TO MISS ANY CLASS and LISTEN CAREFULLY. Tf you don't listen to his word, you will probably not be able to understand the class. The tests are fair though.
Jin-Yi Cai	CS520	AWESOME	He is the best professor I have ever had for advanced level computer science professor. He tries his best the make the abstract concept understandable by visualize it. Also he is super intelligent and patient to students. If you really want to have a general understanding of computing, and learn something from the course, he is the best choice.
Jin-Yi Cai	CS577	AVERAGE	The class is super, super hard, but Professor Cai is ridiculously smart. Pay super good attention otherwise you'll get lost very easily.
Jin-Yi Cai	CS577	AVERAGE	This class was very difficult.  These kind of theory classes in general tend to be difficult, but he doesn't make it any easier.  He seems like a really nice guy and like people have said seems very intelligent, but he just rambles.  He expects you to spend hours on each assignment.  The book is your only real chance to succeed, in my opinion.
Jin-Yi Cai	CS520	AWESOME	He has a true passion for mathematics and computer science and it shows in his teaching. He's always willing to help a student with questions.
Jin-Yi Cai	CS520	AWFUL	This guy is an egomaniac and a terrible teacher. He spent 90% of each class trying to impress us with how brilliant he is by rambling incoherently about material from more advanced classes. Interrupts students whenever they ask questions. If it weren't for the textbook (which was fascinating and clear) I would not have learned anything.
Jin-Yi Cai	CS520	AWESOME	Best professor I've had. (Partially) caused me to go to grad school for a Ph.D.
Jin-Yi Cai	CS520	AWESOME	"&quot;Best CS professor I've had. The first person to really get me excited intellectually.&quot;  Exactly the same for me."
Jin-Yi Cai	CS520	AWESOME	Best CS professor I've had. The first person to really get me excited intellectually.
Remzi Arpaci-Dusseau	CS537	AWESOME	Hands down best professor in the CS department.  Maybe best at the University.  Had to change the way the COW award was given because he was winning it too much.  Speaks very clearly and makes sure everyone knows whats going on before advancing onto new topics.  I recommend every CS major take at least one class with Remzi here.
Remzi Arpaci-Dusseau	CS537	AWESOME	Great prof!
Remzi Arpaci-Dusseau	CS537	AWESOME	Great professor!
Remzi Arpaci-Dusseau	736	AWESOME	One of the university's best professors.
Remzi Arpaci-Dusseau	CS638	AWESOME	Okay, everyone knows Remzi is the best. But taking Starting a Software Company with him is a different experience from OS. Phenomenal teacher who more or less, demands you start thinking outside the box to be successful. Highly, highly recommend.
Remzi Arpaci-Dusseau	CS357	AWESOME	One of the best professors I've had! Extremely knowledgable, clearly passionate about the topics at hand, and truly wants students to understand the material and succeed
Remzi Arpaci-Dusseau	CS537	AWESOME	Favorite CS professor i've had. His lectures are clear and useful and the programming assignments are very helpful to learn the material. He is also writing the course textbook, which is clear and very helpful and will always be available free
Remzi Arpaci-Dusseau	EEEEEEEEE	GOOD	Number one ranked computer science program in the nation. This is the best of the best.
Remzi Arpaci-Dusseau	CS537	AWESOME	Would recommend to everyone.  Not easy but you will learn a ton!
Remzi Arpaci-Dusseau	CS537	AWESOME	Favorite CS professor. You need to do the work (which can take a lot of work), but he's a fair grader and not too nit-picky.
Remzi Arpaci-Dusseau	CS537	AWESOME	Great teacher, wrote his own book for the class and had it online for us to use for free.  Very helpful when you have problems.
Remzi Arpaci-Dusseau	CS736	AWESOME	Mentor...Master...Magic
Remzi Arpaci-Dusseau	CS537	AWESOME	Going to repeat what others have said: best professor in the dept. hands down, and would be a serious contestant for best teacher on campus. Clear, concise, engaging lecturer, very helpful in office hours, and always ready with a joke. The projects and exams are difficult, but never overwhelming. Take this class!
Remzi Arpaci-Dusseau	CS537	AWESOME	Best CS professor. The favorite CS professor of everyone I have talked with. The material I imagine could be challenging, but he presents everything extremely well and is very helpful and a nice guy.
Remzi Arpaci-Dusseau	ECE537	AWESOME	Greatest CS professor ever, he is funny, easy to talk to, knows his stuff and works just as hard as you do during the semester.  Tries (and succeeds) to make exams interestingly themed...
Remzi Arpaci-Dusseau	CS537	GOOD	One of the best professors on campus! Keeps class interesting while making sure you actually learn the material, and is quite entertaining. Very helpful both in and outside of class.
Remzi Arpaci-Dusseau	CS537	AWESOME	Awesome professor. Very engaging and extremely knowledgeable about the topic. Definitely the best CS professor I've had on campus, and quite possibly the best professor.
Remzi Arpaci-Dusseau	CS537	AWESOME	Hilarious and great at teaching.  The material is sometimes a bit dense, but he is very clear, provides great notes, and is just interesting to listen to.  The projects and exams can be very hard if you fall behind (if you're not good at C programming, you will have to learn, but optional discussions help a lot).
Remzi Arpaci-Dusseau	CS537	AWESOME	One of the best professors I've ever had in anything!
Remzi Arpaci-Dusseau	CS537	AWESOME	One of my favorite professors ever.
Jim Williams	CS302	AWFUL	CS302 is the first computer science class you'll likely take, and it does not give a good impression. Jim's lectures rarely if ever increased my knowledge of CS. The entire lecture consisted of multiple choice questions on slides, and even so barely gave explanations of why answers were right or wrong. I recommended taking CS302 with Gary instead.
Jim Williams	CS302	POOR	Overall, I did not enjoy Jim as a lecturer.  With the excessive amounts of homework, lectures were just redundant.  On top of that, he taught at such a slow pace that it was painful.  There were only a few occasions where I felt like I got something out of the lecture.
Jim Williams	CS302	GOOD	This was one of the first CS courses I've taken so I don't have a lot to compare Professor Williams to, but overall he did a good job with the class. The class was tough but he made lecture worth going to as his lectures were set-up in a pretty effective format. Definitely recommend him
Jim Williams	CS302	AWESOME	One of the best professors I have ever seen. Writing code can be boring, but Professor Jim Williams makes it interesting. He explains everything very clearly and tries his best to make sure that everyone understands everything. His lectures are relaxing but very useful. I start to like writing code after taking his class.
Jim Williams	CS302	AWESOME	Professor Williams is really respectful to everyone, if you have a question he will go out of his way and write code to walk through an example. He tries to get everyone to grasp the basics, then goes a little beyond the scope of the course to try to get a deeper understanding which I really liked. Probably the best professor I've had so far.
Jim Williams	CS302	AWESOME	I knew very little about computer science and programming before this class,  but Prof Williams was a really great teacher and passionate about the subject. I'm definitely more interested in pursuing cs because of him and this course. It wasn't an easy class, but I recommend taking it.
Jim Williams	CS302	AWESOME	His lecture is so awesome and useful because he always talks about the exception in the code which we never think about before. Going to the lecture and doing the in-class questions will help you comprehend the content better and get higher grades in the exams.
Jim Williams	CS302	AWESOME	Jim is a great professor that helped a non-CS major with no programming experience really understand the material. The programs can be tough at times, but you have the ability to work with a partner for 3/4 of them. Homework is all online and walks  you through the entire course . Inspired me to take another CS class.
Nikolaos Pappas	CS302	AWESOME	Yes his version of CS 302 is hard. But he taught me so many useful things and is really inspirational to beginners. It will  be a challenge but per say it's worth it.
Nikolaos Pappas	CS302	GOOD	One of my favorite professors. He gives really fun lecturers and relates to his students well. If you go to lecture and give him your attention, you'll find this class much more engaging. He's very willing and pleasant to work with in office hours. The projects for this class are hard because they take time. Start early and you'll be fine.
Nikolaos Pappas	302	AWESOME	Anyone who says Nik is unhelpful and explains java poorly is taking out their frustration on him unfairly. I think a lot of people take CS 302 for engineering reqs and don't really have an interest in the course, which is why it's so hard. Computer Science is hard, but Nik is engaging and interested in improving his class, something you don't see.
Nikolaos Pappas	CS302	AWESOME	Nick did a wonderful job explaining what is a tough topic for many people.  This was 1/3 code, 1/3 problem solving and 1/3 math.  If you didn't do the reading, look up help and more info on line and practice, I am sure the class seemed incomprehensibly hard. Nick took these issues in stride and worked overtime to overcome them.
Nikolaos Pappas	CS302	POOR	The worst professor I've ever had. Though he tries to improve his teaching, he just doesn't accept your suggestions and doesn't change. Don't expect too much from his class and choose another professor if possible.
Nikolaos Pappas	CS302	POOR	He is not helpful at all. He gives really hard projects and exams.
Nikolaos Pappas	CS302	AVERAGE	He tries to be helpful, but in a way I do not think is efficient.
Nikolaos Pappas	CS302	POOR	"I can attest to these comments.I would not recommend this class.Nick spent too much time on things that aren't important. You do not actually get a 'feel' of the materials until the third week. First two weeks were spent talking about ""things we didn't need to know.""In a 8week session that is valuable time taken away from things we do need to know."
Nikolaos Pappas	CS302	AWFUL	I alway left his course with confusion. After a while I learned that if you take his course and have no experience with java, you will end up learning what you have to do to pass the class rather than learning how java works. It's sad but true.
Nikolaos Pappas	CS302	AVERAGE	I didn't learn much from Nik and didn't go to every lecture. He frequently would ask if there was any way of teaching that he could change for our benefit. He is eager to teach and wants students to do well. If you catch on to the material quickly, you will do well. Otherwise, hope that you can learn from Nik.
Nikolaos Pappas	CS302	POOR	He wanted to be relatable and be able to reach all students but it just didn't happen. It felt more like he just opened up Eclipse and started trying to teach rather than thinking about what people need to know.
Nikolaos Pappas	CS302	AWESOME	I really liked Nick's lectures. He explained everything we needed to know about Java and tried to keep class interesting. Holds frequent office hours and is always open to advice on making lectures better - and actually takes the it! Programming projects take a LOT of time; you do enough work that this class should really be worth 4 or 5 credits.
Nikolaos Pappas	COMSCI302	AWFUL	At times he teaches like you're 5, at times like you're an expert. I got an A from past knowledge, but would have failed without it.
Nikolaos Pappas	CS302	AWESOME	this class was incredibly difficult, and requires a LOT of work outside of class. i had friends with other professors who joined nicks lecture because he made a very difficult subject somewhat understandable. hated the class, loved the professor. he really puts time in and tries to make sure the class understands everything by asking for feedback
Nikolaos Pappas	CS302	AWFUL	Have no clue what he is talking about. Worst lecturer I have ever had. Do not take his class unless you are happy with a C or lower.
Nikolaos Pappas	CS302	AWFUL	he's not even a professor; he's a grad student. His instructions are just terribly not clear; and you would get points off because you can't understand what he is asking. And there is no use arguing with him for point back. And often times you get 0 for a quiz or for a class of your project if you get 1 small thing wrong despite all your effort
Nikolaos Pappas	CS302	AWFUL	"Horrible professor. Nick compared everyone to the top 5 kids in the class so everyone else was ""clearly slacking"". It was your fault for not understanding something. His test codes were full of bugs. You could get a -20 on the final... If you see his name on anything just do your self a favor and drop the class."
Nikolaos Pappas	CS302	POOR	I cannot stress enough how important it is to start this program immediately. This project will bend your mind. Start early or your will fail to complete it. You have been warned.
Nikolaos Pappas	CS30	AWFUL	NEVER TAKE HIS CLASS!extremely difficult projects, quizzes and exams. Cannot understanding what he is saying at all. If you dont wanna fail this class, stay away from him.
Aditya Akella	CS838	AWFUL	terrible
Aditya Akella	CS838	AWFUL	hate it
Aditya Akella	CS838	GOOD	It is a difficult course to take.. The HW's require too much time and effort. Many difficult papers to read. He covers the important points of the paper in the lecture so lectures are much useful..
Aditya Akella	CS640	AWESOME	Great professor. Definitely knows what hes talking about with respect to Networks. Will help you whenever you need it and is very responsive. Material isn't too tough, the projects are slightly difficult, quizzes are not too bad if you go to lecture and reread the slides, I'd recommend him as a professor.
