id,name,year,episode,song,artist
594806,right at your door,2006.0,,rise and fall,john ensslin+michael rank+charles h. desmond+scott carelton brenner+marat
410613,den lille død,2011.0,,kun du og jeg,kristian sloth kristensen+rune hørdum jørgensen
88913,festival internacional de la canción de viña del mar,1963.0,viña 2014: noche 4,voy a olvidarme de mí,carlos vives
404100,dance academy,1988.0,,slick,mimi rousseau
500142,kickstand,2012.0,,prologue,
74909,dora the explorer,2000.0,world adventure,three little birds,ziggy marley
379896,bullets over broadway,1994.0,,toot  toot  tootsie (goo bye!),dan russo+ernie erdman+gus kahn+al jolson  with the vitaphone orchestra
611285,shark in venice,2008.0,,venetian boat song,ross garboushian+mazatl galindo
295828,toast of the town,1948.0,(#17.19),two-ton tessie from tennessee,lou handman+tessie oshea
42617,carrossel,2012.0,capítulo 40 (#1.40),varinha de condão,maísa silva
281377,the vampire diaries,2009.0,let her go (#6.15),details,sleeperstar
294249,tiikerihai,1988.0,vihaava rakkaus  rakastava viha (#1.9),niin paljon kuuluu rakkauteen - love is a many splendored thing,sammy fain+katri-helena
509649,la vita è bella,1997.0,,belle nuit (barcarolle),jacques offenbach+montserrat caballé+soprano+shirley verrett+mezzo-soprano
688849,the tyburn case,1957.0,,music for industry,robert farnon
305936,true detective,2014.0,other lives (#2.5),give me,vincent+mr. green
268782,the simpsons,1989.0,the kids are all fight (#26.19),the wheels on the bus,nancy cartwright
455797,goodfellas,1990.0,,life is but a dream,raul cita+hy weiss+the harptones
405517,dark realm,2013.0,,fetish,sinister fate
622740,song of old wyoming,1945.0,,wild prairie rose,eddie dean+carl hoefle
555767,next of kin,2008.0,,made up my mind,bernard mitchell+janai brinson
175633,orange juice in bishops garden,2009.0,the giant mumbles in his sleep (#7.4),alright  alright,dot dash
658043,the equalizer,2014.0,,2 kaiser,sebastian ugowski+sergey parkhomenko+azad
637297,swingers,1996.0,,you & me & the bottle makes 3 tonight (baby),big bad voodoo daddy+scott morris
157352,mistresses,2013.0,when one door closes... (#1.12),good to me,inara george
152521,metal evolution,2011.0,extreme metal (#1.12),retreat to nowhere,napalm death
665131,the holiday,2006.0,,theme from jaws,john williams
422252,droid gunner,1995.0,,when she was good,dave bean+the judys
720664,what is cinema?,2013.0,,life is sweet - end title,
637355,swipe,2014.0,,last night at the jetty,noah lennox+panda bear
333111,a gander at mother goose,1940.0,,mutiny in the nursery,harry warren+johnny mercer
162639,my so-called life,1994.0,,the book song,s. austin+frente!
139731,little white lie,2009.0,(#1.11),took him home,mark swiderski
224555,star trek: the next generation,1987.0,déjà q (#3.13),star trek: the next generation main title,jerry goldsmith+alexander courage
468698,herbie fully loaded,2005.0,,magic,david paton+william lyall+pilot
84322,esupâ mami,1987.0,chikadou ojisan (#1.34),teleportation - koi no mikakunin,keiichi oku+ushio hashimoto
245961,the get down,2016.0,darkness is your candle (#1.3),oogie boogie disco biscuit,herizen f. guardiola
278166,the tonight show with jay leno,1992.0,(#20.137),bang a gong (get it on),marc bolan+the tonight show band
193083,reading and leeds festival,2009.0,arctic monkeys (#1.5),still take you home,arctic monkeys
694643,this gift is a curse: swinelord,2015.0,,swinelord,patrik andersson+lars gunnarsson+the gift is a curse
478045,hymypoika,2003.0,,sun henkes haisee,jukka tanskanen+ripsipiirakka
22355,banda sonora,2007.0,(#6.4),youre the one that i want,john farrar+john travolta+olivia newton-john
333445,a guide to recognizing your saints,2006.0,,baby come back,peter beckett+j.c. crowley+player
56662,dance moms,2011.0,the big  not so  easy (#3.38),dance doctor,21st century girl
270447,the stand,1994.0,the stand (#1.4),baby can u dig your man,stephen king+al kooper+jamey sheridan
696784,tiger bay,1959.0,,ugly woman,sung+danced at a street wedding reception
289247,the young and the restless,1973.0,(#1.10867),nadias theme,barry de vorzon+perry botkin jr.
41647,canadian idol,2003.0,top 4 performances (#2.28),straighten up and fly right,nat king cole+irving mills+jacob hoggard
549886,my gal loves music,1944.0,,over and over,milton raison+everett carter+bob crosby
220951,spackovi v síti casu,2013.0,bertík zasahuje (#1.7),hracky,michal pavlícek+jan hedl+jakub nedorost
541804,mio fratello è figlio unico,2007.0,,ma che freddo fa,
231412,tome: terrain of magical expertise,2011.0,gemini tournament yang (#1.9),404 - tome version,blake swift
52341,crook & chase,2008.0,(2009-07-02),johnny cash is dead and his house burned down,larry gatlin+the gatlin brothers
651412,the broken tower,2011.0,,the brooklyn bridge,neil benezra
313809,viva el espectáculo,1990.0,(#2.14),camino de vuelta,pancho varona+gloria varona+antonio garcía de diego+ana belén
449168,garth brooks... in the life of chris gaines,1999.0,,main street,gordon kennedy+wayne kirkpatrick+trisha yearwood+garth brooks
149376,mary tyler moore,1970.0,feeb (#2.16),love is all around,sonny curtis
583765,project 17,2008.0,,dont blame it on the world,wendy eaton+kim parent
557648,nitrato dargento,1996.0,,improvisation au cinéma,ferenc darvas
193052,reboot,1994.0,end prog (#3.16),reboot recap song,
616284,sing  bing  sing,1933.0,,in my hide-away,k.l. binford+bing crosby
519270,lily & kat,2015.0,,friends,tobi faladé+micael preysler+film/noir
300976,top of the pops,1964.0,(1980-02-28),atomic,debbie harry+jimmy destri+blondie
213065,sinungaling mong puso,2016.0,clearing jason (#1.44),natatanging pag-ibig,maricris garcia
160351,mulatschag,2006.0,stefan weber superstar,mulatschag,drahdiwaberl
706395,u nás v kocourkove,1934.0,,hrdino mesta  sláva ti,julius kalas+kocourkovsti ucitele
537189,meet the engineer,2007.0,,someone elses song (more gun),wilco
473953,honolulu,2001.0,,alle zeit der welt,w.i.r
480139,i wish i were stephanie v,2009.0,,ti ime ego gia sena (what am i to you),bill floratos+george floratos
640467,teach me to love,2008.0,,nasaan,nyoy volante
137210,les dossiers de lécran,1967.0,boulevard du crépuscule,protest,morton gould
371902,blue ruin,2013.0,,fangs,she keeps bees
419411,donnie darko,2001.0,,the killing moon,will sergeant+ian mcculloch+les pattinson+pete defreitas+echo+the bunnymen+arrangement with warner special products
506449,la cucaracha,1998.0,,la rumba,los trovadores
533557,marguerite,2015.0,,chasing sheep is best left to shepherds,michael nyman
601766,sacred planet,2004.0,,release it (instrumental),simon emmerson+james mcnally+iarla olionaird+afro celt sound system
285065,the wire,2002.0,lessons (#1.8),no,chuck d.
619481,smart people,2008.0,,pursuit of happiness,nuno bettencourt+gary cherone+suze demarchi
606843,scorched,2003.0,,its showtime pt. ii,sammy james jr.+the mooney suzuki
427505,el mejor regalo,1975.0,,al salir el sol,the child carlos selles
567110,oprah winfrey presents: legends who paved the way,2015.0,,artisan,edgard jaude+michael benghiat
138706,life,2007.0,fill it up (#1.11),life end theme,jon ehrilich+jason derlatka
330112,5 schritte zur freiheit - every day the same dream,2015.0,,when the worlds end,zack mitchell
21428,bad girls club,2006.0,the queens of key west (#11.6),jigsaw,mimi page
298227,top gear,2002.0,(#10.7),who are you,pete townshend+the who
101714,great performances,1971.0,andrew lloyd webber: the royal albert hall celebration,happy birthday,mildred j. hill
301334,top of the pops,1964.0,(1980-11-20),do you feel my love?,eddy grant
708388,under fiesta stars,1941.0,,ive got no use for women,sol meyer
686258,the stranger in us,2010.0,,opposite opposite man,margrit eichler+true margrit
406409,david,2013.0,,kanave kanave,anirudh ravichander+mohan rajan
191745,rage,1987.0,triple j hottest 100 of all time (50 to 1),stairway to heaven,jimmy page+robert plant+led zeppelin
199860,sabrina  the teenage witch,1996.0,pancake madness (#3.5),sabrina the teenage witch theme,danny lux
155634,misterogers neighborhood,1968.0,1191 (#4.61),tomorrow,fred rogers
302893,top of the pops,1964.0,(1996-12-25),return of the mack,mark morrison
126444,kablam!,1996.0,kablam! gets results (#1.6),schulausflug,gerhard trede
452975,glee encore,2011.0,,alone,billy steinberg+tom kelly+matthew morrison+kristin chenoweth+tim davis+nikki hassman+adam anders
548440,muscle shoals,2013.0,,reap what you sow,mike bloomfield+nick gravenites+otis rush+arrangement with warner music group film+tv licensing
11600,american idol: the search for a superstar,2002.0,elton john theme (#3.25),circle of life,elton john+tim rice+jennifer hudson
216820,so you think you can dance,2005.0,the top eight perform (#6.21),machine gun,portishead
724962,will success spoil rock hunter?,1957.0,,you got it made,bobby troup+georgia carr
523017,los bunkers: en concierto,2006.0,,tú,francisco durán+mauricio durán+los bunkers
677046,the other side of paradise,2009.0,,piano concerto no. 1,pyotr ilyich tchaikovsky+keith j. salmon
428705,eliana: É dez,2002.0,,ai  meu nariz,eliana
278209,the tonight show with jay leno,1992.0,(#20.145),i need to know,marc anthony+cory rooney+the tonight show band
125749,justified,2010.0,shot all to hell (#5.5),du denst mit einum,barbara shirvis
600422,run wild  run free,1969.0,,run wild  run free,david whitaker+the new christy minstrels
715048,voll paula!,2015.0,,the boys,zohar bonnie+the bogarts
246357,the golden girls,1985.0,dancing in the dark (#5.6),thank you for being a friend,andrew gold+cynthia fee
638490,tagebuch der geliebten,1935.0,,in paris sind die fraun ein erlebnis...,paul abraham
436255,fame,2009.0,,fame,michael gore+dean pitchford+naturi naughton
672833,the man with the iron fists,2012.0,,the baddest man alive,dan auerbach+patrick j. carney+rza+the black keys
647526,the badge,2002.0,,soul custody,david garza
390956,chong fan 20 sui,2015.0,,give me a kiss,zishan yang
681095,the replacements,2000.0,,kick the piss out of it,john debney+marc bonilla+font 48
330369,57000 km entre nous,2008.0,,guitare balade,delphine kreuter
647612,the band,2009.0,,too many times,moscow schoolboy
698399,tod den hippies!! es lebe der punk!,2015.0,,marmor  stein und eisen bricht,drafi deutscher
667927,the kid stays in the picture,2002.0,,rigoletto - bella figlia dellamore,giuseppe verdi+orchestra dellaccademia di santa cecilia+roma
210289,shindig!,1964.0,(#1.23),lemon tree,will holt+john andrea
339206,achtung  fertig  charlie!,2003.0,,ti offro da bere,gianni morandi
471177,hitch,2005.0,,now that we found love,kenny gamble+leon huff+heavy d+the boyz
23532,bassie en adriaan en de reis vol verrassingen,1994.0,een gigantisch bos (#1.6),wij zijn nietig,rinus van galen+bas van toor+aad van toor
461034,guru manio granth,1977.0,,desh di khatir saade lahu da,mohammad rafi+chorus
179765,patriotkino,2014.0,artefakt (fuck the contact  okay?) (#1.3),porevo s zavorotnyuk,anton ustimov
139666,little nanay,2015.0,pamilya wars (#1.71),kasama kita,ann margaret figueroa
53309,curb your enthusiasm,2000.0,the corpse-sniffing dog (#3.7),frolic,luciano michelini
188574,prova de amor,2005.0,,eu não sou de vacilar,sombrinha
455211,good hair,2009.0,,the groover,vincent mcewan+pucho+his latin soul brothers
661470,the george burns one-man show,1977.0,,good old bad old days,leslie bricusse+anthony newley+george burns
438684,field of dreams,1989.0,,jessica,dickey betts+the allman brothers band
119932,independent lens,1999.0,deaf jam (#13.4),lamento mourisco,shanir ezra blumenkranz+cyro baptista+arrangement with a side music
632132,strapped,1993.0,,throw ya gunz,onyx+fredro starr+sticky fingaz+sonee seeza+chylow parker+arrangement with sony music licensing
352089,approaching midnight,2013.0,,close the door,chad gokliani
52908,curb your enthusiasm,2000.0,club soda and salt (#3.3),lost the plot,stefano mainetti
697099,tim minchin: so live,2007.0,,dark side,tim minchin
714615,vittra,2012.0,,hit me,samir el alaoui+patrick saxe+anna andersson
584255,prowl,2010.0,,fighter,barney freeman+ben vella+grainne oneill
270032,the sopranos,1999.0,mr. & mrs. john sacrimoni request (#6.5),the three bells (les trois cloches),jean villard+the browns
270383,the south bank show,1978.0,ronnie wood (#28.2),maggie may,rod stewart+martin quittenton+rod stewart   feat ronnie wood
699797,too white for me,1992.0,,tarzanian woman,chiccotwala+chimoro
192488,rap critic reviews,2010.0,loyal by chris brown  feat. lil wayne and tyga (#5.7),every chance i get,t.i.
539361,meu passado me condena: o filme,2013.0,,top of the world,fabio mondego+fael mondego+marco tommaso
400998,crookz,2005.0,,see you on tha way down,kray mitchell+a.k.a.
60320,daniel tigers neighborhood,2012.0,margarets first chime time/tiger family fun (#2.24),its such a good feeling!,
319537,willkommen Österreich,2007.0,(#1.68),versteht ihr was von vögeln?,funny van dannen
106745,hatfields & mccoys,2012.0,(#1.3),are you washed in the blood,
104644,guapas,2014.0,los testigos (#1.7),hasta la piel,carla morrison
717314,wanessa: dna tour,2013.0,,shine it on,wanessa camargo
524522,love & mercy,2014.0,,caroline  no,brian wilson+tony asher+the beach boys
577086,pink flamingos,1972.0,,pink champagne,joseph liggins+the tyrones+arrangement with polygram film+tv licensing
484412,in the loop,2009.0,,allegro from concerto grosso in g minor,arcangelo corelli
395120,cold comfort farm,1995.0,,taras theme,max steiner+the london festival orchestra+chorus
635934,suspended alibi,1957.0,,automation,robert farnon
58471,dancing with the stars,2005.0,round 1: part 1 (#8.1),addicted to love,robert palmer
727237,wounded love,2004.0,,hey love,robert mcatee
669671,the last of england,1987.0,,exélou me (deliver me),diamanda galás
87960,fastlane,2002.0,mighty blue (#1.8),california,phantom planet
438767,fields of the nephilim: visionary heads,1991.0,,last exit for the lost,carl mccoy+tony pettitt+paul wright+andrew wright+peter yates+fields of the nephilim
711851,vanilla sky,2001.0,,wild honey,u2  / lyrics by bono+u2
437672,fear of clowns,2004.0,,steps,john maellaro+dave thomasson
453310,gloria estefans caribbean soul: the atlantis concert,2000.0,,tengo que decirte algo,performed as a duet with josé feliciano
441909,foam drive renegades,2013.0,,aint no lady,c. campbell+stone mary
246714,the good wife,2009.0,marthas and caitlins (#3.5),phamous (feat. chanel),midi mafia
342506,alexander and the terrible  horrible  no good  very bad day,2014.0,,keep on movin,thomas hien+charlie midnight
427237,el grito en el cielo,1998.0,,este amor ya no se toca,giancarlo bigazzi+gianni bella+ignacio ballesteros+yuri
653461,the cockleshell heroes,1955.0,,a life on the ocean wave,henry russell
644452,the 48th annual grammy awards,2006.0,,gravity,john mayer
134511,late night with conan obrien,1993.0,(#8.70),i will always love you (bluegrass version),dolly parton
353845,ashanti,1982.0,,dil diya hai dil liya,asha bhosle+amit kumar
401597,crystal fairy & the magical cactus and 2012,2013.0,,así no más,
259632,the pacific,2010.0,,landing peleliu,blake neely+geoff zanelli+hans zimmer
482784,il vangelo secondo matteo,1964.0,,cantate alexander newski nr 1,sergei prokofiev
710148,upkar,1967.0,,har khushi ho wahan,lata mangeshkar+kalyanji-anandji
347808,amor de la calle,1950.0,,espero un amor,manuel esperón+fernando fernández
432130,escucha mi canción,1959.0,,barquito chiquitin,manuel naranjo+rafael jaén+román+antonio segovia+joselito
281173,the vampire diaries,2009.0,gods and monsters (#7.22),horns ,bryce fox
572483,passion fish,1992.0,,poor man two step,john delafose+the eunice playboys
427713,el pistolero desconocido,1967.0,,el comandante tijerina,eulalio gonzález
286142,the x factor,2004.0,(#5.7),apologize,girlband
636266,swamphead,2011.0,,80s tune,kurt stein
294851,tiny toon adventures,1990.0,her wacky highness (#1.6),wintermärchen,alphons czibulka
240703,the choir: unsung town,2009.0,(#1.3),agnus dei,samuel barber+south oxhey community choir
702268,travellers,2011.0,,keep it up,dicken marshall
564083,old dogs,2009.0,,all out of love,clive davis+graham russell
538629,merci docteur rey,2002.0,,cha cha cha damour,henri salvador
88749,festival internacional de la canción de viña del mar,1963.0,viña 2013: noche 3,duende,miguel bosé+m. ansell
449666,gekijô ban kara no kyôkai: satsujin kôsatsu (go),2009.0,,seventh heaven,yuki kajiura+kalafina
485114,infliction,2014.0,,spread your love,daniel smith
391920,chuecatown,2007.0,,disfraz de tigre,genís segarra+carlos ballesteros+hidrogenesse
664497,the heart of christmas,2011.0,,away in a manger,matthew west
349831,angelina ballerina: shining star trophy movie,2011.0,,my friend alice,charlotte spencer+naomi mcdonald
113686,house of anubis,2011.0,house of reflections/house of stooges (#2.29),main title theme,rob cairns+tony morales
365557,bette midler in concert: diva las vegas,1997.0,,miss otis regrets,cole porter+bette midler
302805,top of the pops,1964.0,(1996-03-14),return of the mack,mark morrison
647494,the bad news bears go to japan,1978.0,,mean bones,
62443,de stratenmaker op zee show,1972.0,bang (#1.9),over de dood,harry bannink+joost prinsen
222309,spongebob squarepants,1999.0,mermaidman and barnacleboy/pickles (#1.6),lonely violin,dick walter
305843,true blood,2008.0,whatever i am  you made me (#5.3),bad things,jace everett
333478,a guy named joe,1943.0,,fight on,milo sweet+don defore
236170,the andy griffith show,1960.0,gomer pyle  u.s.m.c. (#4.32),marines hymn,jim nabors
497769,karaoke revolution party,2005.0,,every little thing she does is magic,
138873,lilyhammer,2012.0,out of africa (#2.2),hjem (home on the range),daniel e. kelley+kirsti sparboe
261498,the porter wagoner show,1961.0,jim colvard (#1.583),country john,jim colvard
614950,silent hill,2006.0,,waiting for you (shf1),akira yamaoka
349495,anfang 80,2011.0,,you are the sun,hansi lang+thomas rabitsch+wolfgang schloegl+the slow club
102977,greys anatomy,2005.0,if only you were lonely (#8.16),terrible love,birdy
630392,stickmen,2001.0,,push and pull part one,rufus thomas
592638,repo! the genetic opera,2008.0,,sawmans lament,darren smith+terrance zdunich+paul sorvino+bill moseley+kevin ohgr ogilvie+alexa penavega+anthony head
218657,som brasil,2007.0,chico buarque (#4.9),quem te viu  quem te vê,chico buarque+aleh
291148,the young and the restless,1973.0,(#1.8138),nadias theme,barry de vorzon+perry botkin jr.
398518,copycat,1995.0,,largo al factotum,gioachino rossini+ettore bastianini+orchestra del maggio musicale fiorentino/alberto erede
504342,kung fu nurses a go-go,2007.0,,drive-by nurses,mark stone+chunk
173019,one tree hill,2003.0,hundred (#5.12),ride,cary brothers  with jason kanakis
36855,broad city,2014.0,the lockout (#1.4),latino and proud,d.j. raff
713234,via dalma,2011.0,,sólo para tí,sergio dalma+pablo alborán
466653,heartbreak hotel,2006.0,,wild dances part 2,ruslana lyzhicko
27728,belmonte,2013.0,(#1.25),the star,aurea
200166,sailor moon,1995.0,dreams take flight (#4.1),sailor moon theme,tetsuya komoro+nicole price+brynne price
238177,the big bang theory,2007.0,the egg salad equivalency (#6.12),big bang theory theme,barenaked ladies
138581,life on mars,2008.0,things to do in new york when you think youre dead (#1.5),he keeps you,boscoe
688395,the triumph of sherlock holmes,1935.0,,perfidus,h.m. farrar
713478,victoria,2015.0,,piano at the café,nils frahm
558043,no limit kids: much ado about middle school,2010.0,,hark! the herald angels sing,hannah+andrew
255215,the match game,1962.0,(#7.126),the match game,the score production band
206385,sesiones con alejandro franco,2007.0,aterciopelados,treboles,andrea echeverri+héctor buitrago+aterciopelados
174598,only fools and horses....,1981.0,the miracle of peckham (#5.2),carmina burana: o fortuna,carl orff
87116,fame,1982.0,hold that baby (#6.6),only love will hold fast,charlie deacock+carrie hamilton+nia peeples+loretta chandler+elisa heinsohn
80494,el color de la pasión,2014.0,rebeca culpa a marcelo de la muerte de alonso (#1.82),hoy es un buen día,josé luis roma+noel shajris+río roma
496727,kab? kyoon? aur kahan?,1970.0,,pyar se dil bhar de,kalyanji veerji shah+anandji veerji shah
335385,a queen is crowned,1953.0,,sarie marais,
175796,orphan black,2013.0,insolvent phantom of tomorrow (#3.9),orphan black end credits theme,trevor yuile
697976,to cross the rubicon,1991.0,,galaxie girl,action buddie
292865,the young and the restless,1973.0,(#1.9850),nadias theme,barry de vorzon+perry botkin jr.
495177,juncture,2007.0,,how to love you,ten tiers+jonathan tiersten
597358,rockers,1978.0,,we a rockers,jacob miller+the inner circle
463643,happy accidents,2000.0,,anamaria,francesco montefiori+federico montefiori+montefiori cocktail
636464,sweet 15,1990.0,,blue danube waltz,johann strauss
375351,braca uboga & vanda winter: da sam ja netko,2009.0,,da sam ja netko,hrvoje hegedusic+maja perfiljeva+braca uboga+stipe madjor bozinovic+kresimir sokec )+vanda winter
67571,demasiado tarde,2009.0,(#4.110),un gran vacío,gepe
614782,sierra,1950.0,,end of the road,arnold schwarzwald+burl ives
81131,elementary,2012.0,dead clade walking (#2.14),better now,the vespers
712952,veronica mars,2014.0,,all around and away we go,ubdhav gupta+andrea estella+eric cardona+gabel damico+bryan ujueta
70931,dinosaur train,2009.0,dinos a to z: part 1 - the big idea/dinos a to z: part 2 - spread the word (#6.23),dinosaurs a to z,craig bartlett+mike himelstein
258167,the nostalgia critic,2007.0,moulin rouge (#4.52),el tango de pretense,brent black+doug walker+phelan porteous+lindsay ellis
13147,amor & sexo,2009.0,pepeca (#7.2),perereca da vizinha,dercy gonçalves+fernanda lima
193158,reading and leeds festival,2009.0,kaiser chiefs (#1.2),i predict a riot,kaiser chiefs
126974,kaisermühlen blues,1992.0,immer die asiaten (#6.4),essig & Öl,roland neuwirth+extrem schrammeln
663778,the guest house,2012.0,,was she?,tanya fenmore+ruth reynolds
393720,cleopatra,2003.0,,balada de cleo,paco ortega+eduardo mignogna
389719,cherish,2002.0,,when im alone,frankie beverly+maze
386047,casino,1995.0,,lets start all over again,elsa byrd+paul winley+the paragons
272703,the tonight show starring jimmy fallon,2014.0,christina aguilera/jeff probst/kid rock (#2.103),folgers coffee jingle,leslie pearl+christina aguilera
452124,girl fever,2002.0,,the girl ill never have,linus of hollywood
2777,33 revolucions,2013.0,sanjosex (#1.12),la pura realitat,sanjosex
662754,the goose and the gander,1935.0,,isle of capri,will grosz
629344,static,1985.0,,this is the day,matt johnson+the the
271075,the taetiseo,2014.0,(#1.4),whisper,im gwang uk+martin hoberg hedegaard+andrew jackson+taetiseo
