_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_song,rtable_artists,rtable_year
27877,951906,436255,fame 09,naturi naughton,0,fame,michael gore+dean pitchford+naturi naughton,2009.0
29368,505576,698399,marmor_ stein und eisen bricht - exklusive neuaufnahme,drafi deutscher,0,marmor  stein und eisen bricht,drafi deutscher,2015.0
29394,843849,339206,ti offro da bere,gianni morandi,0,ti offro da bere,gianni morandi,2003.0
31964,783441,270032,the three bells (les trois cloches) (digitally remastered),the browns,0,the three bells (les trois cloches),jean villard+the browns,1999.0
33433,390091,319537,versteht ihr was von vögeln?,funny van dannen,1997,versteht ihr was von vögeln?,funny van dannen,2007.0
35078,493770,58471,addicted to love,robert palmer,1985,addicted to love,robert palmer,2005.0
35213,946882,727237,more love,robert ffrench & heavy d,0,hey love,robert mcatee,2004.0
35374,405390,87960,california,phantom planet,2001,california,phantom planet,2002.0
35885,152314,438767,music for the last couple,the jam,1980,last exit for the lost,carl mccoy+tony pettitt+paul wright+andrew wright+peter yates+fields of the nephilim,1991.0
37017,823281,644452,gravity,john mayer trio,2005,gravity,john mayer,2006.0
37109,289581,134511,but you know i love you,dolly parton,1980,i will always love you (bluegrass version),dolly parton,1993.0
41997,730283,630392,do the push and pull - live,rufus thomas,0,push and pull part one,rufus thomas,2001.0
42090,925945,173019,ride,cary brothers,2006,ride,cary brothers  with jason kanakis,2003.0
44438,888278,255215,game set and match,the herbaliser,2008,the match game,the score production band,1962.0
44599,193991,87116,only love will hold fast,charlie peacock,1988,only love will hold fast,charlie deacock+carrie hamilton+nia peeples+loretta chandler+elisa heinsohn,1982.0
45748,493541,463643,anamaria,montefiori cocktail,1997,anamaria,francesco montefiori+federico montefiori+montefiori cocktail,2000.0
45749,549906,636464,2001: a space odyssey - blue danube waltz,strauss,0,blue danube waltz,johann strauss,1990.0
46394,580222,81131,better world,phase 3 vs. the machine,0,better now,the vespers,2012.0
47240,673249,193158,i predict a riot,kaiser chiefs,2004,i predict a riot,kaiser chiefs,2009.0
49562,614965,170384,backwell,beak>,0,backwell,beak>,2011.0
50176,922405,303247,the time is now (live at brixton),moloko,2006,the time is now,moloko,1964.0
51932,259098,188399,merry happy / little red,kate nash,2007,merry happy,kate nash,2008.0
52779,319897,154605,growing pains,la roux,2009,growing pains,elly jackson+ben langmaid+jeff patterson+la roux,2009.0
55121,624978,51122,my girl,the rolling stones,1967,i need my girl,the national,2010.0
56685,951505,107581,hippy hippy shake,the swinging blue jeans,1963,hippy hippy shake,the swinging blue jeans+chan romero,1992.0
57312,686063,342271,hand in my pocket (album version),alanis morissette,1996,hand in my pocket,alanis morissette  / glen ballard+alanis morissette,1997.0
57836,251700,57111,beautiful love,steve nelson,0,higher love,steve winwood+will jennings,2006.0
57874,617442,57111,higher love,steve clark,0,higher love,steve winwood+will jennings,2006.0
58261,581585,694438,heart like a wheel (album version),kate & anna mcgarrigle,1975,heart like a wheel,anna mcgarrigle+kate mcgarrigle,2009.0
59966,888278,255664,game set and match,the herbaliser,2008,the match game,the score production band,1962.0
60711,926667,140151,i know where it's at (nu birth riddum dub),all saints,1998,i know where its at,all saints,2009.0
61322,381809,680734,it takes two,rob base & dj ez rock,1988,it takes two,james brown+robert ginyard+rob base+dj ez rock,2003.0
65345,638926,393340,when i miss you most,jon secada,0,and you and i,jon anderson+steve howe+chris squire+bill bruford+yes+live 2001,2007.0
66936,277514,141526,el tiempo en las bastillas,fernando ubiergo,0,el tiempo en las bastillas,fernando ubiergo+camila moreno,2008.0
66948,862461,180664,hello_ dolly!,jerry herman,0,hello  dolly!,jerry herman+nacho dogan,1989.0
67883,518830,129723,crack the shutters,snow patrol,2008,crack the shutters,snow patrol,2009.0
71640,146647,386327,warm ride,rare earth,1978,the warm,ages of the earth,2013.0
71727,961100,386327,the mindstraights,five fingers of funk,1995,the warm,ages of the earth,2013.0
71845,956494,386327,the birds,the high dials,2003,the warm,ages of the earth,2013.0
72347,866763,344784,mauna loa slack key,ledward kaapana,0,no name slack key,ledward kaapana,2015.0
72614,943755,36111,i ain't got you,billy boy arnold,1990,i need you tonight,m.c. boy,2007.0
75295,533786,448299,perra enamorada,monica naranjo,2000,perra enamorada,mogol+lucio battisti+mónica naranjo,2000.0
75305,698463,69604,dexter main title,rolfe kent,2007,dexter main title,rolfe kent,2006.0
75322,929286,472866,floogie walk,cab calloway and his orchestra,1991,elephant walk,quincy jones+the arturo ofarrill orchestra,2006.0
75872,868138,583678,another brick in the wall (part 2) (live),pink floyd,0,another brick in the wall (part two),roger waters+pink floyd,2009.0
76847,277514,141563,el tiempo en las bastillas,fernando ubiergo,0,el tiempo en las bastillas,fernando ubiergo+difuntos correa,2008.0
77228,829280,349815,you are the sunshine of my life,stevie wonder,1972,you are the sunshine of my life,stevie wonder,2013.0
77679,738415,596436,sexyback,justin timberlake featuring timbaland,2006,sexyback,justin timberlake,2013.0
78384,775567,505411,the story of the impossible,peter poehl,2006,the story of the impossible,peter von poehl,2010.0
79309,534729,277195,don't lose my number  (lp version),phil collins,1985,dont lose my number,phil collins+the tonight show band,1992.0
79353,811061,633285,someday,michael learns to rock,1995,someday,jascha richter+michael learns to rock,2000.0
80572,12256,714810,vivimos siempre juntos,nacho cano,1996,vivimos siempre juntos,nacho cano+mercedes ferrer,2006.0
80717,961424,633079,lies,shed seven,1996,lies (live),paul banks+tom gladwin+alan leach+rick witter+shed seven,1997.0
80928,948779,41515,bring it home to me,sam & dave,0,bring it on home to me,sam cooke+casey leblanc,2003.0
82260,886565,731565,memories of the grove,maylene and the sons of disaster,2007,people of the sun,rage against the machine,1999.0
82300,957945,731565,the wheels of love,the jet set,0,people of the sun,rage against the machine,1999.0
82508,949656,731565,music of the spheres,the receiving end of sirens,2007,people of the sun,rage against the machine,1999.0
82509,872858,731565,people of the sun,rage against the machine,1994,people of the sun,rage against the machine,1999.0
82546,955283,731565,children of the universe,ras michael and the sons of negus,0,people of the sun,rage against the machine,1999.0
82695,940419,196717,panama (live version),van halen,0,panama,van halen,2013.0
83085,797053,201821,you are the best thing,ray lamontagne,2008,you are the best thing,ray lamontagne,1975.0
84135,887170,555436,(what a) wonderful world,david bromberg,1986,what a wonderful world,bob thiele+george david weiss+louis armstrong,2011.0
88808,449669,685983,the military,ornette coleman;london symphony orchestra,1972,the chase,roy budd+his orchestra,1973.0
89113,797392,196208,lawless avenues  (lp version),jackson browne,1986,lawless avenues,jackson browne,2016.0
91427,501693,567151,misery loves company,porter wagoner,1962,misery loves company,jerry reed+porter wagoner,2007.0
91431,887275,650688,rhyme for summertime,g. love,0,summertime,sean stolper+patrick muldoon+neil g. ives+the sleeping masses,2007.0
92270,744224,641166,little bitty pretty one,thurston harris,1987,little bitty pretty one,thurston harris+bobby day,1997.0
92364,154845,417653,murder on the dancefloor,sophie ellis-bextor,2000,murder on the dancefloor,gregg alexander+sophie ellis-bextor,2004.0
93825,113090,671918,i like to run i like to jump,david mead,0,if i run,david dennis+tony aguiar+phillip munsey ii+kurt allen+voxhaul broadcast,2012.0
93974,678852,21909,ball and chain,janis joplin,1972,ball and chain,willie mae thornton+janis joplin,2007.0
94248,832232,442710,you ain't just whistlin' dixie,bellamy brothers,0,you aint just whistlin dixie,david bellamy+bellamy brothers,1993.0
94810,211931,457503,el rey y yo,los tres,2000,el rey y yo,los angeles negros,2013.0
96068,476368,349877,i want to take you higher,sly & the family stone,1969,i want to take you higher,sylvanus+sly stone,1970.0
96513,10591,118304,dance with my father,luther vandross,2003,dance with my father,luther vandross+richard marx+pume zondi,2002.0
97181,56996,505532,unchained melody (a capella version),the fleetwoods,1993,unchained melody,alex north+lyrics by hy zaret+the fleetwoods,2016.0
97981,398476,409052,the love you save [may be your own] (album version),joe tex,0,the love you save (may be your own),joe tex,2007.0
97997,565384,316174,hands playing buttefly,efterklang,2007,hands playing butterfly,efterklang,2006.0
98568,278288,614427,no one has ever looked so dead,the organ,2002,no one has ever looked so dead,k. ritchie+s.stocks+g. smyth+d. cohen+s. efron+the organ,2004.0
99085,520533,422905,stoopid ass,grand theft audio,2000,stoopid ass,ralph jezzard+james butler+richard battersby+grand theft audio,2000.0
99207,519280,709605,secret garden,bruce springsteen,1995,secret garden,bruce springsteen,2011.0
100561,401496,574322,pennies from heaven,bing crosby,1936,pennies from heaven,arthur johnston+lyrics by johnny burke+bing crosby,1960.0
100919,557310,644258,the best of times,jerry herman,1986,the best of times,jerry herman+bea arthur+nell carter+sandy duncan+karen morrow+juliet prowse+lee roy reams+ann reinking+rex smith,1986.0
103125,893205,561,speakeasy,shed seven,1994,speakeasy (live),shed seven,1990.0
103206,738304,492092,izabella,jimi hendrix,1971,izabella,jimi hendrix,2002.0
103941,797733,283960,maybe,ink spots,0,maybe,allan flynn+frank madden+the ink spots,2010.0
105252,948785,60692,alley fight,john debney,1999,hallway fight,john paesano,2015.0
107524,870093,343504,$100 dollar bill y'all (explicit),ice cube,0,$100 bill yall,rockwilder+ice cube,2002.0
109556,958270,285217,love is strange,mickey & sylvia,1957,love is strange,sylvia robinson+mickey baker+mickey+sylvia,2002.0
110552,852704,393938,i don't know why,shawn colvin,1992,i dont know why,shawn colvin,1995.0
110797,731338,356036,here comes santa claus,gene autry,1947,here comes santa claus,gene autry+oakley haldeman+bing crosby,2008.0
110799,326167,54580,bailar pegados,sergio dalma,2002,bailar pegados,luis gómez escolar+julio seijas+sergio dalma,2015.0
110922,631380,408787,everyday i love you less and less,kaiser chiefs,2005,everyday i love you less & less,ricky wilson+andrew white+simon rix+nick baines+nick hodgson+kaiser chiefs,2007.0
113490,273298,135470,thank you (falettinme be mice elf agin),sly & the family stone,1969,thank you (falettinme be mice elf agin),sly stone+the cbs orchestra,1993.0
113845,937077,47463,i believe,blessid union of souls,1995,i believe,blessid union of souls,2003.0
114302,862967,199145,main title,the boston pops orchestra / john williams,0,jaws: main title,john williams,2008.0
114827,143962,440519,la donna è mobile,juan diego flórez / orchestra sinfonica di milano giuseppe verdi / carlo rizzi,0,la donna è mobile,giuseppe verdi,2002.0
115469,637289,586867,jackie wilson said (i'm in heaven when you smile),van morrison,1972,jackie wilson said (im in heaven when you smile),van morrison,1991.0
116572,419152,336779,maria mae,dave eggar,2005,maria mae,dave eggar+left of blue+michael paris+david schommer+davi vieira,2007.0
118178,270399,80395,tenia tanto que darte,nena daconte,2008,tenía tanto que darte,mai meneses+kim fanlo+francisco j. urchegui+nena daconte,2004.0
119310,502158,181734,tema de abertura (garota de ipanema),orquestra,1967,tema de cristina,briamonte orquestra,1970.0
122269,953633,66657,À espera de godot,delfins,0,À espera de godot,delfins,2007.0
122514,703753,678834,you are my sunshine,jimmie davis,1940,you are my sunshine,jimmie davis+charles mitchell+pauline roberts,2001.0
123108,860857,505313,fragile,sting,1987,fragile,sting,2005.0
124850,877186,1761,black or white (the clivilles & cole    radio mix),michael jackson,0,black or white,michael jackson,2005.0
125121,253364,722225,when the moon comes over the mountain,kate smith,1999,when the moon comes over the mountain,kate smith+howard johnson+harry m. woods,1937.0
126051,636577,59132,rock this town,brian setzer orchestra,1998,rock this town,brian setzer+joey fatone,2005.0
126710,920063,205303,superman,lazlo bane,2000,superman,lazlo bane,2001.0
129484,510266,395550,ain't no sunshine,bill withers,1971,aint no sunshine,bill withers,2015.0
131694,819217,321395,this charming man,the smiths,1983,this charming man,morrissey+johnny marr+the smiths,1973.0
132007,304289,465786,pata pata (album version),miriam makeba,1967,pata pata,miriam makeba,2012.0
133031,946364,552904,the bottle,gil scott-heron,1974,the bottle,gil scott-heron,2005.0
134674,754254,225375,star trek: first contact- end title,jerry goldsmith,0,end title,joel goldsmith,1997.0
135248,645796,612127,on standby,shed seven,1996,on standby,paul banks+tom gladwin+alan leach+rick witter+shed seven,1996.0
137065,889692,694283,cowboy,harry nilsson,1989,oceanic space cowboy,harry christelis+sam morgan,2010.0
137584,12692,57914,say hey (i love you),michael franti & spearhead / cherine anderson,2009,say hey (i love you),michael franti+carl young,2004.0
139502,142027,215699,boogie wonderland,earth_ wind & fire with the emotions,1987,boogie wonderland,jon lind+allee willis+earth wind+fire+the emotions,2008.0
139524,685747,56429,all day all night,ziggy marley and the melody makers,0,up all night,melody sweets,2011.0
142578,19474,376318,opus no. 13,dustin o'halloran,2004,opus 13,dustin ohalloran,2008.0
143166,571014,602856,weeping mary,elvis perkins in dearland,2009,weeping pilgrim,elvis perkins+elvis perkins  in dearland,2011.0
145389,946015,493134,number one,john legend,2005,number one,john legend,2008.0
146047,929345,488141,found a way,drake bell,2005,i found a way,drake bell,2006.0
146367,958869,346532,why do fools fall in love,frankie lymon and the teenagers,1956,why do fools fall in love,frankie lymon+morris levy,1973.0
146562,798703,346532,why do fools fall in love,frankie lymon & the teenagers_ lymon_ levy,1988,why do fools fall in love,frankie lymon+morris levy,1973.0
147331,369339,373762,i want to love you in my room,irving,2005,i want to love you in my room,irving,2008.0
148291,386549,395291,amando locamente,monica naranjo,2000,amando locamente,l. cantini+l. lópez+p. casella+mónica naranjo,2005.0
148419,738415,323146,sexyback,justin timberlake featuring timbaland,2006,sexyback,justin timberlake+tim mosley+nate hills,2006.0
148421,918952,146278,gopher mambo,yma sumac,1996,gopher mambo,billy may+conrad gozzo+yma sumac,2007.0
148514,794244,182231,is she really going out with him?,joe jackson,1978,is she really going out with him?,joe jackson,1998.0
149214,690454,469955,you're gonna miss me - live,the 13th floor elevators,0,youre gonna miss me,roky erickson+13th floor elevators+arrangement with celebrity licensing inc.,2000.0
150162,312308,197089,get your gunn,marilyn manson,0,get your gunn,marilyn manson,1974.0
150271,817204,720913,animals have personality,charlotte diamond,0,animals have personality,charlotte diamond,1993.0
151831,714828,171832,mashed potato time,dee dee sharp,1962,mashed potato time,william garrett+robert bateman+georgia dobbins+brian holland+freddie gorman+dee dee sharp,2012.0
153352,477643,153040,only the good die young (1998 digital remaster),iron maiden,1988,only the good die young,steve harris+bruce dickinson+iron maiden,1984.0
154970,379152,203042,geek stink breath (album version),green day,2001,geek stink breath,green day,1975.0
157919,474424,359467,stars and stripes forever,john mceuen,0,the stars and stripes forever,john philip sousa+walter brennan  after the first wedding,1936.0
158230,754254,224953,star trek: first contact- end title,jerry goldsmith,0,star trek: voyager - main title,jerry goldsmith+jay chattaway,1995.0
158511,412703,104309,self control,laura branigan,1984,self control,giancarlo bigazzi+steve piccolo+raffaele riefoli+laura branigan,2014.0
159324,786422,363785,thats all right,arthur big boy crudup,0,thats all right,arthur crudup+orion,2001.0
159489,498661,30753,will you miss me when i'm gone?,june carter cash,2003,will you miss me when im gone?,a.p. carter+june carter cash,2006.0
160512,337057,299790,dancing in the city,marshall hain,1990,dancing in the city,julian marshall+kit hain,1964.0
161855,939013,652414,it's christmas time again,peggy lee,1992,christmas time is here,lee mendelson+vince guaraldi+the carpenters,1977.0
162385,711699,182054,stay golden,au revoir simone,2005,stay golden,au revoir simone,2013.0
168464,295704,88830,la bomba,ricky martin,1998,la bomba,ricky martin,1963.0
169145,461742,475753,help me make it through the night,kris kristofferson,1970,help me make it through the night,kris kristofferson+romy haag,2009.0
169771,831478,653218,bleak house,phantom limbs,0,our house,phantom planet+graham nash,2005.0
170859,929345,76468,found a way,drake bell,2005,i found a way (instrumental),drake bell+michael corcoran,2004.0
174128,761943,98449,daydream believer (album version),john stewart,0,daydream believer,john stewart+neil patrick harris+molly mccook,2009.0
174129,410811,434047,bong toke,kottonmouth kings,2006,bong toke,brad xavier+dustin miller+timothy mcnutt+mike kumagai+kottonmouth kings,2006.0
175057,755907,413671,clandestino,manu chao,1998,clandestino,manu chao,2012.0
176344,592945,304185,ya empezó la fiesta,juan formell y los van van,1995,la fiesta terminó,juan carlos calderón+paloma san basilio,2013.0
176360,808382,236780,eureka!,the backyardigans,2006,eureka!,the backyardigans,2004.0
177714,156488,44196,c'est si bon,yves montand,1992,cest si bon,henri betti+yves montand,1982.0
177886,674199,446575,you dream flat tires,joni mitchell,1982,you dream flat tires,joni mitchell,2004.0
177935,822011,198104,everlong,foo fighters,1992,everlong,foo fighters,1999.0
177957,769876,500574,forever right or wrong (love's like a river),steve perry,1998,right or wrong,steve clisby,2014.0
181383,583778,368569,bye bye blackbird,ray brown,0,bye bye blackbird,ray henderson,1947.0
181468,651540,433942,the james bond theme,neil norman and his cosmic orchestra,0,james bond theme,monty norman,2012.0
181615,712508,105277,be my baby,vanessa paradis,1992,be my baby,gerry deveaux+lenny kravitz+vanessa paradis,2005.0
181650,814765,287559,unfinished sympathy,massive attack,1991,unfinished sympathy,grant marshall+andrew vowles+robert del naja+jonathan sharp+shara nelson+massive attack,2004.0
181667,883472,99786,all right now,free,0,all right now,free,1978.0
182686,798089,671667,love theme,the boston pops orchestra / john williams,0,love boat,jack jones+charles fox+paul williams,1976.0
183961,398561,22620,he'll never love you (like i do) (2007 digital remaster),freddie jackson,2007,hell never love you (like i do),keith diamond+barry eastmond+freddie jackson,1952.0
184026,574912,342272,head over feet (live/unplugged version),alanis morissette,0,head over feet,alanis morissette  / glen ballard+alanis morissette,1997.0
186062,571692,133928,radar love,golden earring,1973,radar love,barry hay+george kooymans+golden earring,2016.0
186080,536069,133928,school love,barry blue,2001,radar love,barry hay+george kooymans+golden earring,2016.0
186333,939856,378216,cowboys and clowns,ronnie milsap,1989,cowboys and clowns,steve dorff+gary harju+larry herbstritt+snuff garrett+ronnie milsap,1980.0
186510,956722,458417,hands of time,ron sexsmith,2006,hands,ron thal,2013.0
187145,951557,538649,lille (live),lisa hannigan,2009,lille,lisa hannigan,2009.0
188047,249483,303771,what my heart wants to say,gareth gates,2002,what my heart wants to say,jörgen elofsson+per magnusson+david kreuger+gareth gates,1964.0
188846,692861,393425,sha la la (hier est près de moi),claude françois,2001,sha la la (hier est près de moi)(yesterday once more)),richard carpenter+eddy marnay+claude françois,1979.0
190266,880330,304937,watts-hoffmann special,frank london´s klezmer brass allstars,2002,blackbird special,dirty dozen brass band+galactic,2010.0
190823,958532,635782,the heart of rock and roll (24-bit digitally remastered 99),huey lewis and the news,1983,the heart of rock n roll,huey lewis+johnny colla+the news,1985.0
193318,803239,217943,casanova's got the blues,richard clapton,1976,whos got the pain?,richard adler+jerry ross,2005.0
194822,454565,5525,don't believe in love,dido,2008,dont believe in love,dido,2008.0
197008,525153,105365,shine on you crazy diamond (live in gdansk),david gilmour,0,shine on you crazy diamond,david gilmour+roger waters+richard wright+pink floyd,2005.0
197407,827884,222922,closing theme,blue sky boys,0,spongebob squarepants closing theme,the blue hawaiians,1999.0
197419,883178,222922,closing theme,the salsoul orchestra,1994,spongebob squarepants closing theme,the blue hawaiians,1999.0
197552,604326,659630,i'm getting ready,ann nesby,0,im getting ready,shirley caesar+ann nesby,2003.0
199121,543577,152713,phantom of the opera (live) (1998 digital remaster),iron maiden,1985,phantom of the opera,iron maiden,2011.0
199947,563319,254381,a swingin safari,bert kaempfert and his orchestra,2003,a swingin safari (the theme of the match game),bert kaempfert,1962.0
201239,72345,666119,hark the herald angels sing,david francey,0,hark the herald angels sing,david kitay,2005.0
202069,811791,402022,deerslayer,black math horseman,2009,deerslayer,sera timms+ian barry+bryan tulao+sasha popovic+black math horseman,2012.0
202133,333557,594463,i put a spell on you,screamin jay hawkins,1956,i put a spell on you,screamin jay hawkins+marilyn manson,2002.0
207348,912508,438465,block of ice,the oh sees,0,block of ice,thee oh sees,2009.0
209124,449669,511200,the military,ornette coleman;london symphony orchestra,1972,military madcap,larry clinton+his orchestra,1938.0
209174,898924,701699,moving on up,m people,1993,moving on up,m people+mike pickering+paul heard,2013.0
209230,223590,448074,funny ways,gentle giant,1970,funny ways,gentle giant,2006.0
210297,958555,553931,rock around the clock,bill haley & the comets,0,around the horn,the bronx,2006.0
210408,784662,553931,around the world,the london pops orchestra,0,around the horn,the bronx,2006.0
212638,415088,713785,triste y vacia,willie colon/hector lavoe,1993,triste y vacia,hector lavoe,1983.0
213913,799370,423590,don't leave me,harry nilsson,1989,dont leave me baby,harry nilsson,1971.0
215420,509213,470961,loaded,primal scream,1990,loaded,bobby gillespie+andrew innes+robert young+primal scream,2016.0
217026,155883,43308,anyone who knows what love is (will understand),irma thomas,1964,anyone who knows what love is (will understand),irma thomas,2015.0
218648,88714,121217,main title,craig safan,1987,intervention main title,craig marks,2005.0
219282,930270,230005,smoke on the water (live - us b-side edit) (2010 digital remaster),deep purple,0,smoke on the water,ritchie blackmore+ian gillan+roger glover+jon lord+ian paice+deep purple,2005.0
222140,744224,543835,little bitty pretty one,thurston harris,1987,little bitty pretty one,bobby day+thurston harris,1969.0
228120,287186,20975,the carousel waltz,richard rodgers,0,carousel waltz,richard rodgers+julian ovenden+sierra boggess+the john wilson orchestra,2010.0
228741,612317,39574,i am loco (album version),ill nino,0,i am loco,ill nino,2002.0
229471,363082,528942,backyard betty,spank rock,2006,backyard betty,spank rock,2006.0
231321,784641,166334,things can only get better,howard jones,0,things can only get better,howard jones,2003.0
232322,846353,604015,i will not forget you,sarah mclachlan,1991,i will not forget you,sarah mclachlan   / darren phillips+sarah mclachlan,1999.0
232554,683067,167672,just dance,lady gaga / colby o'donis,2008,just dance,lady gaga,2007.0
233258,946131,399916,don't sit under the apple tree,the andrews sisters,1990,dont sit under the apple tree,sam h. stept+tyrone power  in the car,1943.0
234202,289581,260672,but you know i love you,dolly parton,1980,i will always love you,dolly parton,1967.0
236337,79687,493519,days of wine and roses,henry mancini,1988,days of wine and roses,henry mancini+andy williams,2009.0
236869,932168,11838,a fool in love - original,ike and tina turner,1992,a fool in love,ike turner+tamyra gray,2002.0
237373,696032,374488,love of a lifetime,larry gatlin & the gatlin brothers band,0,tunnel of love,bruce springsteen+e street band,1988.0
237393,959739,374488,the season of love,little river band,0,tunnel of love,bruce springsteen+e street band,1988.0
237586,749736,374488,sunshine of your love,jack bruce,1994,tunnel of love,bruce springsteen+e street band,1988.0
237703,289581,381791,but you know i love you,dolly parton,1980,i will always love you,dolly parton,2004.0
239191,940194,39412,this is the new shit (album version),marilyn manson,0,this is the new shit,marilyn manson+john 5,2000.0
240728,889049,417629,music for 18 musicians: section iiia,reich_ steve,1997,music for 18 musicians: section x,steve reich,2014.0
240830,375401,372325,she's so high (single version),blur,0,shes so high,blur,1993.0
240837,58796,523039,canción para mañana,los bunkers,0,canción para mañana,francisco durán+mauricio durán+los bunkers,2011.0
241609,739,103847,greedy,inara george,2005,greedy,inara george,2005.0
242257,907160,182295,it's gonna take time,embrace,0,its gonna take time,embrace,1998.0
242883,562209,372784,the time is right,michael hurley,0,the time is right,michael lloyd+jimmy scarlet+the dimensions,1986.0
243728,439102,546278,wedding bell blues,laura nyro,1967,wedding bell blues,laura nyro+liza minnelli+the bojangles,1970.0
245210,820139,586253,rivers of babylon,boney m.,1978,rivers of babylon,boney m.,2005.0
245475,599048,375355,i wish you'd stay,brad paisley,2001,i wish youd stay,brad paisley,2006.0
245541,223828,315230,wave of mutilation (uk surf version),pixies,2007,wave of mutilation,pixies,2009.0
245815,390215,379783,i could dance all night,john holt,0,all night dance,bennie wallace+stevie ray vaughan+dr. john,1988.0
247039,720862,701034,maybe not,cat power,2003,maybe not,cat power,2008.0
247505,676261,240045,unidentified main titles,trevor rabin,2009,the borgias main titles (instrumental),trevor morris,2011.0
248287,801047,440235,i got you babe,sonny & cher,1965,i got you babe,sonny bono,1996.0
248386,45806,440235,i got you babe  (instrumental),sonny & cher,0,i got you babe,sonny bono,1996.0
251473,961583,670159,way down,taylor hawkins & the coattail riders,2010,fuckin down,the revision,2004.0
252643,847528,369542,black water,method of defiance,2007,black bags,luke meneok+david edward james kolenski+13 bags of dick,2012.0
252782,332181,330307,knock on wood,steve cropper / pop staples / albert king,0,knock on wood,mary griffin+eddie floyd+steve cropper,1998.0
253120,910762,542679,the unknown soldier ( lp version ),the doors,1968,the unknown soldier,jim morrison+robby krieger+ray manzarek+john densmore+the doors,1994.0
255295,789704,346016,ooh poo pah doo (part 1) (2002 digital remaster),jessie hill,0,ooh poo pah doo,jessie hill+the who,2007.0
258011,405528,94653,prison break - main title season 3,ramin djawadi,0,game of thrones - main title,ramin djawadi,2011.0
259463,544604,430938,it don't mean a thing (if it ain't got that swing),duke ellington & his orchestra,1932,it dont mean a thing (if it aint got that swing),irving mills+duke ellington,1973.0
