_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_song,rtable_artists,rtable_year,gold
10886,601746,594806,"(((t)), ((h)), ((e)), (( )), ((r)), ((i)), ((s)), ((e)), (( )), ((a)), ((n)), ((d)), (( )), ((f)), ((a)), ((l)), ((l)), (( )), ((o)), ((f)), ((&)))","(((p)), ((i)), ((g)), ((e)), ((o)), ((n)), (( )), ((j)), ((o)), ((h)), ((n)))",0,"(((r)), ((i)), ((s)), ((e)), (( )), ((a)), ((n)), ((d)), (( )), ((f)), ((a)), ((l)), ((l)))","(((j)), ((o)), ((h)), ((n)), (( )), ((e)), ((n)), ((s)), ((s)), ((l)), ((i)), ((n)), ((+)), ((m)), ((i)), ((c)), ((h)), ((a)), ((e)), ((l)), (( )), ((r)), ((a)), ((n)), ((k)), ((+)), ((c)), ((h)), ((a)), ((r)), ((l)), ((e)), ((s)), (( )), ((h)), ((.)), (( )), ((d)), ((e)), ((s)), ((m)), ((o)), ((n)), ((d)), ((+)), ((s)), ((c)), ((o)), ((t)), ((t)), (( )), ((c)), ((a)), ((r)), ((e)), ((l)), ((t)), ((o)), ((n)), (( )), ((b)), ((r)), ((e)), ((n)), ((n)), ((e)), ((r)), ((+)), ((m)), ((a)), ((r)), ((a)), ((t)))",2006,0
11237,535486,74909,"(((t)), ((h)), ((r)), ((e)), ((e)), (( )), ((l)), ((i)), ((t)), ((t)), ((l)), ((e)), (( )), ((b)), ((i)), ((r)), ((d)), ((s)))","(((s)), ((e)), ((a)), ((n)), (( )), ((p)), ((a)), ((u)), ((l)), (( )), ((/)), (( )), ((z)), ((i)), ((g)), ((g)), ((y)), (( )), ((m)), ((a)), ((r)), ((l)), ((e)), ((y)))",2004,"(((t)), ((h)), ((r)), ((e)), ((e)), (( )), ((l)), ((i)), ((t)), ((t)), ((l)), ((e)), (( )), ((b)), ((i)), ((r)), ((d)), ((s)))","(((z)), ((i)), ((g)), ((g)), ((y)), (( )), ((m)), ((a)), ((r)), ((l)), ((e)), ((y)))",2000,1
12948,731576,455797,"(((l)), ((i)), ((f)), ((e)), (( )), ((i)), ((s)), (( )), ((b)), ((u)), ((t)), (( )), ((a)), (( )), ((d)), ((r)), ((e)), ((a)), ((m)))","(((t)), ((h)), ((e)), (( )), ((h)), ((a)), ((r)), ((p)), ((t)), ((o)), ((n)), ((e)), ((s)))",1990,"(((l)), ((i)), ((f)), ((e)), (( )), ((i)), ((s)), (( )), ((b)), ((u)), ((t)), (( )), ((a)), (( )), ((d)), ((r)), ((e)), ((a)), ((m)))","(((r)), ((a)), ((u)), ((l)), (( )), ((c)), ((i)), ((t)), ((a)), ((+)), ((h)), ((y)), (( )), ((w)), ((e)), ((i)), ((s)), ((s)), ((+)), ((t)), ((h)), ((e)), (( )), ((h)), ((a)), ((r)), ((p)), ((t)), ((o)), ((n)), ((e)), ((s)))",1990,1
12999,599407,555767,"(((g)), ((e)), ((o)), ((r)), ((g)), ((i)), ((a)), (( )), ((o)), ((n)), (( )), ((m)), ((y)), (( )), ((m)), ((i)), ((n)), ((d)))","(((j)), ((e)), ((a)), ((n)), ((-)), ((m)), ((i)), ((c)), ((h)), ((e)), ((l)), (( )), ((b)), ((e)), ((r)), ((n)), ((a)), ((r)), ((d)))",0,"(((m)), ((a)), ((d)), ((e)), (( )), ((u)), ((p)), (( )), ((m)), ((y)), (( )), ((m)), ((i)), ((n)), ((d)))","(((b)), ((e)), ((r)), ((n)), ((a)), ((r)), ((d)), (( )), ((m)), ((i)), ((t)), ((c)), ((h)), ((e)), ((l)), ((l)), ((+)), ((j)), ((a)), ((n)), ((a)), ((i)), (( )), ((b)), ((r)), ((i)), ((n)), ((s)), ((o)), ((n)))",2008,0
13784,654309,637297,"(((y)), ((o)), ((u)), (( )), ((&)), (( )), ((m)), ((e)), (( )), ((&)), (( )), ((t)), ((h)), ((e)), (( )), ((b)), ((o)), ((t)), ((t)), ((l)), ((e)), (( )), ((m)), ((a)), ((k)), ((e)), ((s)), (( )), ((3)), (( )), ((t)), ((o)), ((n)), ((i)), ((g)), ((h)), ((t)), (( )), ((()), ((b)), ((a)), ((b)), ((y)), (())))","(((b)), ((i)), ((g)), (( )), ((b)), ((a)), ((d)), (( )), ((v)), ((o)), ((o)), ((d)), ((o)), ((o)), (( )), ((d)), ((a)), ((d)), ((d)), ((y)))",1996,"(((y)), ((o)), ((u)), (( )), ((&)), (( )), ((m)), ((e)), (( )), ((&)), (( )), ((t)), ((h)), ((e)), (( )), ((b)), ((o)), ((t)), ((t)), ((l)), ((e)), (( )), ((m)), ((a)), ((k)), ((e)), ((s)), (( )), ((3)), (( )), ((t)), ((o)), ((n)), ((i)), ((g)), ((h)), ((t)), (( )), ((()), ((b)), ((a)), ((b)), ((y)), (())))","(((b)), ((i)), ((g)), (( )), ((b)), ((a)), ((d)), (( )), ((v)), ((o)), ((o)), ((d)), ((o)), ((o)), (( )), ((d)), ((a)), ((d)), ((d)), ((y)), ((+)), ((s)), ((c)), ((o)), ((t)), ((t)), (( )), ((m)), ((o)), ((r)), ((r)), ((i)), ((s)))",1996,1
14204,388259,152521,"(((r)), ((e)), ((t)), ((r)), ((e)), ((a)), ((t)), (( )), ((t)), ((o)), (( )), ((n)), ((o)), ((w)), ((h)), ((e)), ((r)), ((e)))","(((n)), ((a)), ((p)), ((a)), ((l)), ((m)), (( )), ((d)), ((e)), ((a)), ((t)), ((h)))",1988,"(((r)), ((e)), ((t)), ((r)), ((e)), ((a)), ((t)), (( )), ((t)), ((o)), (( )), ((n)), ((o)), ((w)), ((h)), ((e)), ((r)), ((e)))","(((n)), ((a)), ((p)), ((a)), ((l)), ((m)), (( )), ((d)), ((e)), ((a)), ((t)), ((h)))",2011,1
16380,754254,224555,"(((s)), ((t)), ((a)), ((r)), (( )), ((t)), ((r)), ((e)), ((k)), ((:)), (( )), ((f)), ((i)), ((r)), ((s)), ((t)), (( )), ((c)), ((o)), ((n)), ((t)), ((a)), ((c)), ((t)), ((-)), (( )), ((e)), ((n)), ((d)), (( )), ((t)), ((i)), ((t)), ((l)), ((e)))","(((j)), ((e)), ((r)), ((r)), ((y)), (( )), ((g)), ((o)), ((l)), ((d)), ((s)), ((m)), ((i)), ((t)), ((h)))",0,"(((s)), ((t)), ((a)), ((r)), (( )), ((t)), ((r)), ((e)), ((k)), ((:)), (( )), ((t)), ((h)), ((e)), (( )), ((n)), ((e)), ((x)), ((t)), (( )), ((g)), ((e)), ((n)), ((e)), ((r)), ((a)), ((t)), ((i)), ((o)), ((n)), (( )), ((m)), ((a)), ((i)), ((n)), (( )), ((t)), ((i)), ((t)), ((l)), ((e)))","(((j)), ((e)), ((r)), ((r)), ((y)), (( )), ((g)), ((o)), ((l)), ((d)), ((s)), ((m)), ((i)), ((t)), ((h)), ((+)), ((a)), ((l)), ((e)), ((x)), ((a)), ((n)), ((d)), ((e)), ((r)), (( )), ((c)), ((o)), ((u)), ((r)), ((a)), ((g)), ((e)))",1987,0
17469,623720,193083,"(((s)), ((t)), ((i)), ((l)), ((l)), (( )), ((t)), ((a)), ((k)), ((e)), (( )), ((y)), ((o)), ((u)), (( )), ((h)), ((o)), ((m)), ((e)))","(((a)), ((r)), ((c)), ((t)), ((i)), ((c)), (( )), ((m)), ((o)), ((n)), ((k)), ((e)), ((y)), ((s)))",2004,"(((s)), ((t)), ((i)), ((l)), ((l)), (( )), ((t)), ((a)), ((k)), ((e)), (( )), ((y)), ((o)), ((u)), (( )), ((h)), ((o)), ((m)), ((e)))","(((a)), ((r)), ((c)), ((t)), ((i)), ((c)), (( )), ((m)), ((o)), ((n)), ((k)), ((e)), ((y)), ((s)))",2009,1
17845,949414,22355,"(((y)), ((o)), ((u)), ((')), ((r)), ((e)), (( )), ((t)), ((h)), ((e)), (( )), ((o)), ((n)), ((e)), (( )), ((t)), ((h)), ((a)), ((t)), (( )), ((i)), (( )), ((w)), ((a)), ((n)), ((t)))","(((j)), ((o)), ((h)), ((n)), (( )), ((t)), ((r)), ((a)), ((v)), ((o)), ((l)), ((t)), ((a)), (( )), ((/)), (( )), ((o)), ((l)), ((i)), ((v)), ((i)), ((a)), (( )), ((n)), ((e)), ((w)), ((t)), ((o)), ((n)), ((-)), ((j)), ((o)), ((h)), ((n)))",1978,"(((y)), ((o)), ((u)), ((r)), ((e)), (( )), ((t)), ((h)), ((e)), (( )), ((o)), ((n)), ((e)), (( )), ((t)), ((h)), ((a)), ((t)), (( )), ((i)), (( )), ((w)), ((a)), ((n)), ((t)))","(((j)), ((o)), ((h)), ((n)), (( )), ((f)), ((a)), ((r)), ((r)), ((a)), ((r)), ((+)), ((j)), ((o)), ((h)), ((n)), (( )), ((t)), ((r)), ((a)), ((v)), ((o)), ((l)), ((t)), ((a)), ((+)), ((o)), ((l)), ((i)), ((v)), ((i)), ((a)), (( )), ((n)), ((e)), ((w)), ((t)), ((o)), ((n)), ((-)), ((j)), ((o)), ((h)), ((n)))",2007,1
18555,958835,41647,"(((s)), ((t)), ((r)), ((a)), ((i)), ((g)), ((h)), ((t)), ((e)), ((n)), (( )), ((u)), ((p)), (( )), ((a)), ((n)), ((d)), (( )), ((f)), ((l)), ((y)), (( )), ((r)), ((i)), ((g)), ((h)), ((t)), (( )), ((()), ((d)), ((i)), ((g)), ((i)), ((t)), ((a)), ((l)), ((l)), ((y)), (( )), ((r)), ((e)), ((m)), ((a)), ((s)), ((t)), ((e)), ((r)), ((e)), ((d)), (( )), ((o)), ((r)), ((i)), ((g)), ((i)), ((n)), ((a)), ((l)), (())))","(((n)), ((a)), ((t)), (( )), ((k)), ((i)), ((n)), ((g)), (( )), ((c)), ((o)), ((l)), ((e)), (( )), ((t)), ((r)), ((i)), ((o)))",0,"(((s)), ((t)), ((r)), ((a)), ((i)), ((g)), ((h)), ((t)), ((e)), ((n)), (( )), ((u)), ((p)), (( )), ((a)), ((n)), ((d)), (( )), ((f)), ((l)), ((y)), (( )), ((r)), ((i)), ((g)), ((h)), ((t)))","(((n)), ((a)), ((t)), (( )), ((k)), ((i)), ((n)), ((g)), (( )), ((c)), ((o)), ((l)), ((e)), ((+)), ((i)), ((r)), ((v)), ((i)), ((n)), ((g)), (( )), ((m)), ((i)), ((l)), ((l)), ((s)), ((+)), ((j)), ((a)), ((c)), ((o)), ((b)), (( )), ((h)), ((o)), ((g)), ((g)), ((a)), ((r)), ((d)))",2003,1
19678,282489,313809,"(((c)), ((a)), ((m)), ((i)), ((n)), ((o)), (( )), ((d)), ((e)), (( )), ((v)), ((u)), ((e)), ((l)), ((t)), ((a)))","(((a)), ((n)), ((a)), (( )), ((b)), ((e)), ((l)), ((Ã)), ((©)), ((n)))",1991,"(((c)), ((a)), ((m)), ((i)), ((n)), ((o)), (( )), ((d)), ((e)), (( )), ((v)), ((u)), ((e)), ((l)), ((t)), ((a)))","(((p)), ((a)), ((n)), ((c)), ((h)), ((o)), (( )), ((v)), ((a)), ((r)), ((o)), ((n)), ((a)), ((+)), ((g)), ((l)), ((o)), ((r)), ((i)), ((a)), (( )), ((v)), ((a)), ((r)), ((o)), ((n)), ((a)), ((+)), ((a)), ((n)), ((t)), ((o)), ((n)), ((i)), ((o)), (( )), ((g)), ((a)), ((r)), ((c)), ((Ã)), ((­)), ((a)), (( )), ((d)), ((e)), (( )), ((d)), ((i)), ((e)), ((g)), ((o)), ((+)), ((a)), ((n)), ((a)), (( )), ((b)), ((e)), ((l)), ((Ã)), ((©)), ((n)))",1990,1
19847,702210,149376,"(((l)), ((o)), ((v)), ((e)), (( )), ((i)), ((s)), (( )), ((a)), ((l)), ((l)), (( )), ((a)), ((r)), ((o)), ((u)), ((n)), ((d)), (( )), ((()), ((t)), ((h)), ((e)), (( )), ((m)), ((a)), ((r)), ((y)), (( )), ((t)), ((y)), ((l)), ((e)), ((r)), (( )), ((m)), ((o)), ((o)), ((r)), (( )), ((s)), ((h)), ((o)), ((w)), (( )), ((t)), ((h)), ((e)), ((m)), ((e)), (())))","(((s)), ((o)), ((n)), ((n)), ((y)), (( )), ((c)), ((u)), ((r)), ((t)), ((i)), ((s)))",0,"(((l)), ((o)), ((v)), ((e)), (( )), ((i)), ((s)), (( )), ((a)), ((l)), ((l)), (( )), ((a)), ((r)), ((o)), ((u)), ((n)), ((d)))","(((s)), ((o)), ((n)), ((n)), ((y)), (( )), ((c)), ((u)), ((r)), ((t)), ((i)), ((s)))",1970,1
22138,960655,506449,"(((l)), ((a)), (( )), ((y)), ((e)), ((r)), ((b)), ((i)), ((t)), ((a)))","(((l)), ((o)), ((s)), (( )), ((c)), ((o)), ((r)), ((r)), ((a)), ((l)), ((e)), ((r)), ((o)), ((s)), (( )), ((d)), ((e)), (( )), ((m)), ((a)), ((j)), ((a)), ((g)), ((u)), ((a)), ((l)))",0,"(((l)), ((a)), (( )), ((r)), ((u)), ((m)), ((b)), ((a)))","(((l)), ((o)), ((s)), (( )), ((t)), ((r)), ((o)), ((v)), ((a)), ((d)), ((o)), ((r)), ((e)), ((s)))",1998,0
22146,542942,506449,"(((l)), ((a)), (( )), ((c)), ((u)), ((c)), ((a)), ((r)), ((a)), ((c)), ((h)), ((a)))","(((l)), ((o)), ((s)), (( )), ((d)), ((e)), ((l)), (( )), ((s)), ((o)), ((l)))",0,"(((l)), ((a)), (( )), ((r)), ((u)), ((m)), ((b)), ((a)))","(((l)), ((o)), ((s)), (( )), ((t)), ((r)), ((o)), ((v)), ((a)), ((d)), ((o)), ((r)), ((e)), ((s)))",1998,0
22321,493834,533557,"(((c)), ((h)), ((a)), ((s)), ((i)), ((n)), ((g)), (( )), ((s)), ((h)), ((e)), ((e)), ((p)), (( )), ((i)), ((s)), (( )), ((b)), ((e)), ((s)), ((t)), (( )), ((l)), ((e)), ((f)), ((t)), (( )), ((t)), ((o)), (( )), ((s)), ((h)), ((e)), ((p)), ((h)), ((e)), ((r)), ((d)), ((s)))","(((m)), ((i)), ((c)), ((h)), ((a)), ((e)), ((l)), (( )), ((n)), ((y)), ((m)), ((a)), ((n)))",1989,"(((c)), ((h)), ((a)), ((s)), ((i)), ((n)), ((g)), (( )), ((s)), ((h)), ((e)), ((e)), ((p)), (( )), ((i)), ((s)), (( )), ((b)), ((e)), ((s)), ((t)), (( )), ((l)), ((e)), ((f)), ((t)), (( )), ((t)), ((o)), (( )), ((s)), ((h)), ((e)), ((p)), ((h)), ((e)), ((r)), ((d)), ((s)))","(((m)), ((i)), ((c)), ((h)), ((a)), ((e)), ((l)), (( )), ((n)), ((y)), ((m)), ((a)), ((n)))",2015,1
22423,843044,601766,"(((r)), ((e)), ((l)), ((e)), ((a)), ((s)), ((e)), (( )), ((i)), ((t)), (( )), ((()), ((i)), ((n)), ((s)), ((t)), ((r)), ((u)), ((m)), ((e)), ((n)), ((t)), ((a)), ((l)), (())))","(((a)), ((f)), ((r)), ((o)), (( )), ((c)), ((e)), ((l)), ((t)), (( )), ((s)), ((o)), ((u)), ((n)), ((d)), (( )), ((s)), ((y)), ((s)), ((t)), ((e)), ((m)))",1999,"(((r)), ((e)), ((l)), ((e)), ((a)), ((s)), ((e)), (( )), ((i)), ((t)), (( )), ((()), ((i)), ((n)), ((s)), ((t)), ((r)), ((u)), ((m)), ((e)), ((n)), ((t)), ((a)), ((l)), (())))","(((s)), ((i)), ((m)), ((o)), ((n)), (( )), ((e)), ((m)), ((m)), ((e)), ((r)), ((s)), ((o)), ((n)), ((+)), ((j)), ((a)), ((m)), ((e)), ((s)), (( )), ((m)), ((c)), ((n)), ((a)), ((l)), ((l)), ((y)), ((+)), ((i)), ((a)), ((r)), ((l)), ((a)), (( )), ((o)), ((l)), ((i)), ((o)), ((n)), ((a)), ((i)), ((r)), ((d)), ((+)), ((a)), ((f)), ((r)), ((o)), (( )), ((c)), ((e)), ((l)), ((t)), (( )), ((s)), ((o)), ((u)), ((n)), ((d)), (( )), ((s)), ((y)), ((s)), ((t)), ((e)), ((m)))",2004,1
22719,917908,606843,"(((i)), ((t)), ((')), ((s)), (( )), ((s)), ((h)), ((o)), ((w)), ((t)), ((i)), ((m)), ((e)), (( )), ((p)), ((t)), ((.)), (( )), ((1)))","(((t)), ((h)), ((e)), (( )), ((m)), ((o)), ((o)), ((n)), ((e)), ((y)), (( )), ((s)), ((u)), ((z)), ((u)), ((k)), ((i)))",0,"(((i)), ((t)), ((s)), (( )), ((s)), ((h)), ((o)), ((w)), ((t)), ((i)), ((m)), ((e)), (( )), ((p)), ((t)), ((.)), (( )), ((i)), ((i)))","(((s)), ((a)), ((m)), ((m)), ((y)), (( )), ((j)), ((a)), ((m)), ((e)), ((s)), (( )), ((j)), ((r)), ((.)), ((+)), ((t)), ((h)), ((e)), (( )), ((m)), ((o)), ((o)), ((n)), ((e)), ((y)), (( )), ((s)), ((u)), ((z)), ((u)), ((k)), ((i)))",2003,0
23942,773531,301334,"(((d)), ((o)), (( )), ((y)), ((o)), ((u)), (( )), ((f)), ((e)), ((e)), ((l)), (( )), ((m)), ((y)), (( )), ((l)), ((o)), ((v)), ((e)))","(((e)), ((d)), ((d)), ((y)), (( )), ((g)), ((r)), ((a)), ((n)), ((t)))",1981,"(((d)), ((o)), (( )), ((y)), ((o)), ((u)), (( )), ((f)), ((e)), ((e)), ((l)), (( )), ((m)), ((y)), (( )), ((l)), ((o)), ((v)), ((e)), ((?)))","(((e)), ((d)), ((d)), ((y)), (( )), ((g)), ((r)), ((a)), ((n)), ((t)))",1964,1
25949,709471,216820,"(((m)), ((a)), ((c)), ((h)), ((i)), ((n)), ((e)), (( )), ((g)), ((u)), ((n)))","(((p)), ((o)), ((r)), ((t)), ((i)), ((s)), ((h)), ((e)), ((a)), ((d)))",2007,"(((m)), ((a)), ((c)), ((h)), ((i)), ((n)), ((e)), (( )), ((g)), ((u)), ((n)))","(((p)), ((o)), ((r)), ((t)), ((i)), ((s)), ((h)), ((e)), ((a)), ((d)))",2005,1
